stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,869.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,147.11,1023.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,6.13,0,0,36.78,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,23.66,7.89,0,23.66,0,0,0,36.8,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,407.45,34.17,0,0,168.24,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,18.88,0,0,0,56.65,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,302.11,9.44,0,0,97.56,0,3.15,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,1,7,3,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,4,71,2,1,0,1,0,1,0,10,0,0,10,16,0,0,0,0
 24-34,0,0,0.82,0.82,4.93,1.64,0,30.37,0,0,0.82,1.64,0.82,0,1.64,0.82,2.46,0,0.82,1.64,0,15.6,0.82,0,7.39,122.31,0,1.64,0,0,0,4.1,0,0.82,2.46,1.64,4.93,17.24,0,0,0,0.82
 36-46,0,0,0,0,0.81,0.81,0,19.34,0.81,0,0,5.64,0,0,0,0,0,0,0.81,0,0,8.86,0,0,6.45,53.17,1.61,0.81,0.81,0,0,4.03,0,0,1.61,0,0,4.83,0,0.81,0,0.81
 48-58,0,0,0,0,0.57,0,0,17.79,0.57,0,0.57,2.87,0,0,0,0,0,1.15,0,1.15,0,11.48,0.57,0,2.3,32.13,0,0,0,0,0,0.57,0,0,0,0.57,0,4.02,0,0.57,0,0.57
 60-70,0,0,0,0,1.96,0,0,19.63,0,0,1.96,3.93,0,0,0,0.98,0.98,0,0.98,0,0.98,21.59,0.98,0,4.91,33.37,0,0.98,0.98,0,0,0.98,0,0,0.98,0,0,5.89,0,0.98,0,0
 72-82,0,0,0.98,0,1.96,0,0,11.78,0.98,0.98,1.96,7.85,1.96,0,0,1.96,0,0,0.98,0,0,26.5,0,0,2.94,18.65,0.98,0.98,0,0,0,1.96,0,0,0,0,0,5.89,0.98,0,0,1.96
 84-94,0,0,1.06,0,3.19,0,0,21.24,0,0,2.12,3.19,3.19,0,0,1.06,2.12,1.06,1.06,0,0,35.05,0,2.12,8.5,33.99,1.06,2.12,1.06,0,1.06,14.87,0,0,2.12,0,0,5.31,3.19,3.19,2.12,0
 96-106,0,0,0,0,8.74,0,0,9.84,0,0,0,3.28,1.09,0,1.09,2.19,1.09,1.09,0,0,0,20.76,1.09,0,7.65,16.39,1.09,2.19,2.19,0,0,12.02,0,0,0,0,0,1.09,0,5.46,3.28,0
108-118,0,0,0,0,9.96,0,0.77,6.13,1.53,0.77,0.77,6.89,2.3,0,1.53,3.83,2.3,0,0.77,3.06,0,34.47,0,0,8.43,29.11,1.53,2.3,2.3,0,0,11.49,0,0,0,0,0,0.77,0,3.83,1.53,1.53
120,0,0,0,0,11.76,0,0,7.84,0,0,0,9.8,1.96,0,0,0,0,0,0,0,1.96,11.76,0,0,7.84,23.52,0,0,1.96,0,0,9.8,0,0,1.96,0,0,0,0,1.96,0,0
