stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,2.63,0,0,0,13.14,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,89.38,7.89,0,0,23.66,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,15.73,0,3.15,0,28.32,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,173.08,28.32,0,0,53.5,0,0,6.29,0,22.03,0,0,0,0,0,0,0
 14-21,0,0,1,4,54,19,0,20,0,0,4,7,0,0,0,0,0,0,0,2,31,0,0,20,132,9,0,4,0,0,7,0,12,1,9,49,0,0,3,0,1
 24-34,0,0,0.82,0,15.6,2.46,0,15.6,4.1,4.93,2.46,2.46,0,0,0,1.64,0,0,11.49,2.46,64.03,0.82,0,24.63,187.98,4.1,0.82,2.46,0,0,15.6,0,0,4.93,4.1,51.71,0,0,22.98,0,1.64
 36-46,0,0,0.81,0,6.45,0.81,0,38.67,0.81,12.09,19.34,1.61,0,0.81,0,0,0,0.81,3.22,4.03,56.4,0,0,25.78,144.21,0,0,3.22,0,0.81,20.95,0,0,6.45,0,44.31,0,0.81,9.67,0,4.83
 48-58,0,0,0,0,4.02,1.15,0,92.38,0.57,8.03,39.02,2.87,0,0.57,0,0,0.57,0.57,3.44,1.72,93.53,0.57,1.72,16.64,65.41,1.72,0.57,4.02,0,0,13.77,0,0,1.15,0,27.54,0,0.57,7.46,0,3.44
 60-70,0,0,0.98,0,6.87,0,0,143.3,2.94,4.91,50.06,1.96,0,1.96,0.98,0,0.98,0,3.93,0.98,90.3,0.98,2.94,7.85,42.21,1.96,0.98,5.89,0,0.98,14.72,0,0,8.83,0,14.72,0,0,5.89,0.98,2.94
 72-82,0,0,0.98,0,1.96,0.98,0,173.75,0.98,8.83,72.64,7.85,0,1.96,0,0.98,1.96,1.96,6.87,0,131.54,0,3.93,4.91,70.68,0,0,2.94,0,0.98,5.89,0,0,7.85,0,8.83,0.98,5.89,16.69,3.93,4.91
 84-94,0,0,0,1.06,8.5,1.06,0,156.12,4.25,18.05,42.48,9.56,0,1.06,1.06,0,2.12,1.06,19.12,1.06,88.15,0,4.25,4.25,39.3,3.19,2.12,8.5,0,2.12,22.3,0,0,22.3,0,9.56,0,0,13.81,5.31,2.12
 96-106,0,0,0,0,8.74,1.09,1.09,132.23,3.28,6.56,45.9,12.02,0,3.28,1.09,0,2.19,0,26.23,0,63.39,2.19,1.09,6.56,36.06,0,0,7.65,0,5.46,17.49,0,0,25.14,0,4.37,0,3.28,12.02,3.28,1.09
108-118,0,0,0.77,1.53,11.49,0.77,12.26,96.51,3.83,3.83,42.89,19.15,0,0.77,0,0.77,7.66,1.53,59.75,0,52.09,3.06,1.53,6.89,44.43,0.77,0,8.43,0,0.77,9.19,0,0,30.64,0,1.53,0,0.77,7.66,0.77,1.53
120,0,0,0,1.96,13.72,0,1.96,97.99,1.96,5.88,64.67,23.52,0,1.96,3.92,1.96,3.92,0,64.67,0,58.79,0,1.96,5.88,62.71,0,0,7.84,0,1.96,15.68,0,0,11.76,0,1.96,1.96,1.96,13.72,3.92,3.92
