stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching.gland,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,52.71,1120.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,42.91,698.78,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,18.39,0,0,0,0
  7-9,5.26,10.51,10.51,0,0,13.14,0,10.51,0,0,0,0,149.84,5.26,0,36.8,2.63,0,0,0,0
 10-12,0,3.15,0,0,3.15,9.44,0,3.15,0,0,0,0,75.53,3.15,0,18.88,0,18.88,0,0,0
 14-21,0,0,0,5,0,1,1,0,0,0,1,0,14,2,0,1,0,0,2,3,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,4.1,0.82,12.31,0,0,0,0.82,0,0.82,2.46,0.82
 36-46,0,0,0,0,0,1.61,0,0,0,0,0.81,0.81,8.86,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,2.3,0.57,0,0,0,0.57,0.57,3.44,0,0.57,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0.98,4.91,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0.98,0,0.98,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,1.06,0,1.06,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0.77,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
