stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,52.71,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,18.88,0,12.59,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,1,0,0,2,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0.82,0,0,0,0,0.82,0.82,12.31,0,0,0.82,0,0,1.64,0.82,2.46,0,1.64,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,0.81,0,0,0,15.31,0,0,0,0.81,0,0,0,5.64,0,0,0
 48-58,0,0,0,0.57,9.75,0,0,0.57,2.3,0,0,0,0,0,3.44,0.57,21.23,0,0,0,0,0,0,0,7.46,0,0,0
 60-70,0,0,0,0.98,8.83,0,0,0,3.93,0,0,0,0,0,3.93,0,33.37,0,0,0,0,0,0,0,3.93,0,0,0
 72-82,0,0,0,0,16.69,0,0,0,0,0,0,0,0,0,0.98,0,21.6,0.98,0,1.96,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,2.12,13.81,0,0,0,0,0,0,1.06,0,1.06,1.06,0,9.56,0,0,1.06,0,0,0,0,3.19,0,0,0
 96-106,0,0,0,1.09,7.65,0,0,0,0,0,0,0,0,0,0,0,9.84,0,0,0,1.09,0,0,0,0,0,0,1.09
108-118,0,0,0.77,0,5.36,0.77,0,0,1.53,0,0.77,0,0,0,2.3,0,12.26,0,0,0.77,0.77,0,0,0,0,0.77,0,0
120,0,0,0,1.96,1.96,0,1.96,0,1.96,0,0,0,0,0,0,0,25.48,0,0,0,0,0,0,0,0,0,0,0
