stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,26.29,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,113.03,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,3.15,0,0,0,15.73,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,62.94,6.29,0,0,34.62,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,2,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,8,39,1,0,0,0,0,1,0,6,0,1,21,6,0,0,1,0,0
 24-34,0,0,0,3.28,0,0,3.28,0,0,0,0,1.64,0,1.64,0,3.28,0,0.82,0,0,6.57,0,0,5.75,12.31,0.82,0.82,0,0,0,5.75,0,0,2.46,0,0.82,5.75,0,0,5.75,0,0
 36-46,0,0,0,2.42,0,0,0.81,1.61,0,0.81,0.81,0.81,0,0,0,0,0,0,0,0,16.11,0.81,0.81,4.83,20.14,0.81,1.61,0,0,0,8.06,0,0,0,0,0,10.47,0,0,2.42,0,0
 48-58,0.57,0,0,0.57,0,0,8.61,0,0.57,0,3.44,0.57,0.57,0,0.57,0,0.57,0,0,0.57,14.35,0.57,1.15,2.3,14.35,0.57,3.44,0,0,0,2.87,0,0,1.15,1.15,0,5.16,0,0,2.3,0,0.57
 60-70,0,0,0,0.98,0.98,0,33.37,0,0,0,7.85,0,0.98,0,1.96,0,0,0.98,0,0,20.61,0.98,0,0.98,63.8,0,1.96,0,0,0,6.87,0,0,0,0,0,17.67,0,0.98,0,0,0.98
 72-82,0,0,0,0,6.87,0,36.32,0,1.96,0.98,27.49,0.98,0,0.98,0,0.98,0,1.96,0,0.98,52.03,0,0.98,1.96,94.24,0,7.85,1.96,0,0,1.96,0,0,0,0.98,0,21.6,0,0.98,6.87,0,0
 84-94,0,0,0,5.31,7.43,0,40.36,0,2.12,4.25,19.12,1.06,2.12,0,5.31,1.06,4.25,1.06,0,0,43.54,1.06,0,4.25,58.41,0,9.56,2.12,0,0,5.31,0,0,2.12,1.06,0,10.62,1.06,1.06,3.19,1.06,1.06
 96-106,0,0,0,8.74,8.74,0,51.36,3.28,1.09,5.46,34.97,3.28,0,0,2.19,0,2.19,2.19,1.09,2.19,42.62,0,1.09,4.37,80.87,1.09,10.93,2.19,0,3.28,5.46,0,0,1.09,0,0,15.3,1.09,1.09,4.37,1.09,1.09
108-118,0,0,0,9.19,9.19,1.53,55.15,3.06,2.3,0.77,47.49,4.6,0,1.53,2.3,4.6,4.6,2.3,1.53,2.3,64.34,1.53,3.83,6.89,118.72,4.6,5.36,3.06,0,1.53,4.6,0,0,1.53,2.3,0,14.55,2.3,3.06,10.72,0.77,2.3
120,0,0,0,19.6,3.92,0,43.12,3.92,3.92,3.92,25.48,5.88,0,0,1.96,5.88,0,0,0,0,41.16,0,0,5.88,131.31,3.92,7.84,1.96,0,1.96,9.8,0,0,1.96,0,0,1.96,3.92,1.96,11.76,0,0
