stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,92.25,1884.44,0,0,0,0,0,0,0,118.6,0,0,0,0,0
  5-6,153.24,2096.34,6.13,0,0,6.13,61.3,6.13,42.91,85.81,0,0,0,0,0
  7-9,73.6,47.32,97.26,0,155.09,81.49,1645.57,73.6,630.89,5.26,15.77,0,0,0,0
 10-12,0,53.5,84.97,18.88,100.7,44.06,1217.88,78.67,503.52,3.15,22.03,3.15,84.97,3.15,3.15
