stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43,0,0,0,0,0,0,0
 24-34,0,0,2.46,0,0.82,0,0,0.82,0.82,0,0,0.82,0,0,2.46,1.64,0,0,27.91,0.82,0.82,0,0,367.74,0.82,0,4.1,0,0,3.28,0
 36-46,0,0,0.81,0,2.42,0,0,0,0,0,0,0.81,0,0,2.42,4.83,0,0.81,19.34,0.81,0.81,0,0,450.37,0,0,4.03,0,0,0.81,0
 48-58,0,0,0.57,0,12.62,2.3,0.57,0.57,0.57,0,0.57,0.57,0,0,6.89,2.3,0,0.57,26.97,0,0.57,0,0,393.63,0,0,9.18,0,0,1.15,1.15
 60-70,0,0,0,0.98,17.67,1.96,0,0.98,0,0,0.98,2.94,0,0.98,3.93,8.83,0,0,17.67,0,0,0.98,0,306.23,0,0,4.91,0,0,0,0
 72-82,0,0,2.94,0,15.71,0.98,0.98,2.94,0,0,0,0,0.98,0.98,6.87,5.89,1.96,0,24.54,0,0,0.98,0,301.37,0,0,3.93,0.98,0.98,0.98,0.98
 84-94,0,1.06,3.19,2.12,18.05,4.25,1.06,1.06,0,0,1.06,8.5,0,0,6.37,11.68,0,1.06,10.62,1.06,0,0,1.06,861.31,1.06,0,4.25,0,0,1.06,1.06
 96-106,0,0,9.84,2.19,16.39,4.37,0,5.46,0,0,2.19,14.21,0,0,9.84,15.3,0,0,18.58,0,0,0,0,616.37,0,1.09,1.09,0,0,1.09,0
108-118,0,0,3.83,0,7.66,4.6,0.77,3.06,0,0.77,0.77,6.89,0,0,4.6,17.62,1.53,0,6.89,0,0.77,0,0.77,467.24,0,0,0.77,0.77,0,0,0
120,0,0,7.84,0,5.88,1.96,0,0,0,0,0,0,0,1.96,3.92,0,0,0,13.72,0,0,1.96,0,293.97,0,0,1.96,0,1.96,0,1.96
