stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,hatching.gland,immune,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,79.07,2398.38,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0
  5-6,42.91,741.69,0,0,0,0,0,0,0,0,6.13,6.13,0,12.26,6.13,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,97.26,2.63,0,26.29,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,22.03,0,0,12.59,0,0,0,0,0
 14-21,0,0,2,1,1,1,0,0,0,0,6,0,0,0,1,4,1,2,0
 24-34,0,0,0,0,0,0,0,0,0,0,4.1,0,0.82,0,1.64,3.28,0,2.46,0
 36-46,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0.81,0.81
 48-58,0,0,0.57,0,0.57,1.72,0,0,1.15,0,4.02,0,0,0,0.57,0,0,2.87,0
 60-70,0,0,0,0,1.96,0.98,0,0,0.98,0,2.94,0,0,0,0,0,0,0.98,0.98
 72-82,0,0,0,0,3.93,1.96,0,0,1.96,0.98,2.94,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,1.06,0,2.12,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0.77,0.77,2.3,0,0,0,0.77,7.66,0,0,0,0.77,0,0,0,0.77
120,0,0,0,0,1.96,1.96,0,0,0,0,3.92,0,0,0,1.96,0,0,0,0
