stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,4,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,11,0,1,0,1,2,0,0,0,0,0,0,0,4,0,0,0,0
 24-34,0,1.64,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,9.03,0,2.46,0,0.82,12.31,0,0.82,0,0,0,0.82,0,0.82,0,1.64,0,0
 36-46,0,0.81,0,0.81,0,0,1.61,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0.81,0,0.81,14.5,0,0,0,0,0,0,0.81,3.22,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,17.21,0,0,0,1.15,0,0,0,0,0,0,5.74,0,0.57,0.57,0,26.4,0,0,0,0,0.57,0,0,2.3,0,0,0,1.15
 60-70,0,0,0,0,0,0,21.59,0.98,0,0,2.94,0,0,1.96,0,0,0,12.76,0,2.94,0,0,20.61,0.98,0,0,0,0.98,0,0,0.98,0,0.98,0,1.96
 72-82,0,0.98,0,0,0,0,22.58,0,0.98,0,0.98,27.49,0,0,0,0.98,0,36.32,0,4.91,0.98,0,26.5,1.96,0,0,0,0.98,0,0,0.98,0,0.98,0,7.85
 84-94,0,1.06,0,0,0,0,47.79,0,0,0,1.06,65.85,0,1.06,0,0,1.06,116.82,0,0,0,0,8.5,0,0,0,0,2.12,0,0,1.06,0,0,1.06,8.5
 96-106,0,2.19,0,2.19,4.37,0,41.53,0,1.09,0,7.65,239.33,0,3.28,0,0,0,407.63,0,10.93,1.09,2.19,86.33,0,1.09,0,0,5.46,0,0,2.19,1.09,1.09,1.09,10.93
108-118,0,0,0,6.13,0.77,1.53,45.96,0,0.77,0,1.53,363.83,0,0,1.53,0,0,887.75,0.77,4.6,0,0,66.64,0.77,0,0,0.77,3.06,0,0,0.77,0.77,0,0,20.68
120,1.96,0,0,5.88,5.88,0,19.6,1.96,0,3.92,0,274.37,1.96,0,0,0,0,452.71,0,7.84,0,1.96,70.55,0,0,0,0,0,0,0,0,0,1.96,0,17.64
