stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,18,0,0,13,0,0,0,0,0,0,0,0,1,0,1,0,0,6,44,17,0,1,1,0,0,1,4,4,0,0,0,0,0
 24-34,0,0,18.06,0,0,12.31,0,0.82,1.64,0,0,0.82,0,0.82,1.64,0,27.09,0.82,0.82,30.37,38.58,4.1,5.75,16.42,0,0,0,0,4.1,9.03,0,0,0,0,0
 36-46,0,0,2.42,0,0,0,0.81,5.64,4.03,0,0,0,0,0,5.64,0,105.54,0,4.83,36.26,27.39,1.61,6.45,12.09,0,0.81,0,0,0,3.22,0,0,0,0,0
 48-58,0,0,1.15,0,0,5.16,0.57,6.31,2.87,0,0,0,0,0,4.02,0,154.35,0,12.62,52.79,32.13,1.72,4.02,10.33,0,0,0.57,0,0,6.89,0,1.15,0.57,0,0
 60-70,0,0,1.96,0.98,0,5.89,0,0.98,3.93,0,0,0.98,0,0,6.87,0.98,176.67,0,18.65,45.15,20.61,0.98,3.93,11.78,0,0,0,0.98,0,3.93,0,4.91,0.98,4.91,0
 72-82,0,0,4.91,0.98,0,10.8,0,4.91,8.83,0,0,0,0,0.98,6.87,0,225.78,0,10.8,59.88,37.3,0,8.83,12.76,0,0,0,0,0,0.98,0,2.94,0.98,3.93,0.98
 84-94,0,0,1.06,0,0,14.87,0,2.12,5.31,0,0,1.06,0,0,4.25,0,165.68,0,7.43,46.73,23.36,1.06,14.87,13.81,0,1.06,0,0,0,3.19,0,3.19,0,6.37,0
 96-106,0,0,3.28,1.09,0,9.84,0,1.09,10.93,0,0,0,1.09,1.09,5.46,0,110.38,0,3.28,31.69,29.51,1.09,25.14,26.23,0,1.09,1.09,0,0,1.09,0,3.28,1.09,4.37,0
108-118,0,0,6.89,0,0.77,8.43,0.77,0,9.96,0,0,0,0.77,1.53,1.53,0,127.15,0,2.3,24.51,32.94,0,15.32,19.15,0,0,0.77,0,0,0,1.53,2.3,0,0.77,0
120,1.96,0,7.84,1.96,1.96,7.84,0,0,9.8,1.96,0,0,0,0,0,1.96,82.31,0,3.92,23.52,17.64,0,11.76,19.6,0,0,0,0,0,0,0,0,0,1.96,0
