stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,65.72,0,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,15.73,0,6.29,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,352.46,0,0,0,66.09,0,0,3.15,0,0,0,0
 14-21,0,0,0,1,11,1,0,30,0,0,0,10,1,1,0,0,0,0,1,0,7,427,1,4,4,2,1,1,5,7,157,0,0
 24-34,0,0,0,1.64,1.64,0,0,69.77,0.82,0,0,13.95,2.46,0,0,0,1.64,0,10.67,0,9.85,771.6,1.64,5.75,7.39,0,2.46,0,2.46,4.1,251.18,0,0
 36-46,0,0,0.81,0,1.61,0,0,71.7,3.22,0,0,24.17,0,0.81,0,0.81,0.81,0.81,2.42,0,5.64,632.45,0,3.22,4.03,0,0.81,0,1.61,1.61,207.06,0,0
 48-58,0,0,0,0,1.72,0.57,0,97.55,4.59,0.57,0,36.72,0.57,0,0.57,0,2.3,0.57,6.89,0,3.44,320.18,0,1.72,3.44,0,0.57,0,0.57,0,132.55,0.57,0.57
 60-70,0,0,0,0,0,0,0,126.62,0.98,0,0,25.52,0,0,0,0,0,0,1.96,0,7.85,217.9,0,0,3.93,0,0,0,0,0,46.13,0,0
 72-82,0,0,2.94,0,0.98,0,0,114.85,0.98,0,0,37.3,3.93,0,0,0,3.93,0,12.76,0,2.94,216.95,0,0,11.78,0,0.98,0,0,0,13.74,0,0.98
 84-94,0,0,2.12,1.06,4.25,1.06,1.06,72.22,2.12,0,0,25.49,2.12,1.06,1.06,0,5.31,0,2.12,1.06,6.37,135.94,0,1.06,13.81,0,1.06,0,5.31,0,11.68,0,0
 96-106,0,0,1.09,0,4.37,1.09,0,84.15,0,0,0,25.14,2.19,0,0,0,10.93,2.19,5.46,0,1.09,108.19,0,0,17.49,0,2.19,0,2.19,0,3.28,0,1.09
108-118,0,0,0,0,1.53,0,0,66.64,0,0,1.53,17.62,2.3,0,0.77,0,6.13,2.3,3.83,0,6.13,124.09,0,0.77,13.79,0,0,0,2.3,0,6.89,0,1.53
120,1.96,0,1.96,0,11.76,0,0,97.99,0,0,0,7.84,1.96,0,0,0,3.92,0,5.88,0,3.92,158.74,0,0,9.8,0,0,0,1.96,0,0,0,0
