stage,epidermis,eye,fin.epithelia,glial,heart,mesenchyme,muscle,neural,pericytes,periderm,slow.muscle,spinal.cord
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,2,1,0,0,0,0,0,3,0,0,0,6
 24-34,0,1.64,0,0.82,0,0.82,0,22.16,0,0,0,13.13
 36-46,0,3.22,0,0,0,0,0.81,11.28,0,0,0,16.11
 48-58,0,16.07,0,0.57,0,0,0,9.18,0,0.57,0.57,4.59
 60-70,0,12.76,0,0,0,0,0,2.94,0,0,0,0
 72-82,0,3.93,0,7.85,0,3.93,0,2.94,0,0,0,1.96
 84-94,0,0,0,2.12,0,1.06,0,2.12,0,0,0,0
 96-106,0,2.19,0,1.09,1.09,0,0,2.19,1.09,0,0,0
108-118,0.77,1.53,0.77,0,0.77,0.77,0,0,0,0,0,0
120,1.96,1.96,0,1.96,0,0,0,5.88,0,0,0,0
