stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.36,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,24.52,214.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,5.26,0,0,28.92,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,9.44,0,66.09,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,188.82,3.15,0,0,12.59,0,0,6.29,22.03,0,3.15,0,0,0,0
 14-21,0,0,0,8,57,0,0,1,0,0,0,0,4,0,0,0,3,0,1,0,0,2,1,0,16,0,1,43,0,0,1,0,82,1,108,0,0,2,0
 24-34,0,0,0,13.95,53.36,0,0,1.64,0,0.82,0,4.93,5.75,0,0,0,21.34,0,18.06,3.28,0,1.64,27.91,0.82,77.16,1.64,9.03,62.39,0,0,1.64,0,71.41,0,71.41,0,0,4.1,0
 36-46,0,0,0,0.81,24.17,0,0,0.81,0,0,0,1.61,0.81,2.42,0.81,0,7.25,0,12.89,3.22,0,2.42,25.78,0.81,101.51,1.61,14.5,38.67,0,0,2.42,0,34.64,0,22.56,0,0,0.81,0
 48-58,0,0,0,1.15,12.05,0,0,5.16,0,1.72,0,1.15,4.59,3.44,0,0,9.75,0,10.33,0.57,0,21.8,28.12,0,57.38,2.3,12.62,43.61,0,0,2.87,0,15.49,0,12.62,0,0,0.57,0
 60-70,0,0,0,0,21.59,0,0.98,11.78,0.98,1.96,0,0.98,10.8,3.93,0,0.98,6.87,0,10.8,2.94,0,78.52,31.41,0,47.11,2.94,14.72,33.37,0,0,3.93,0,17.67,0,6.87,3.93,0,0,0
 72-82,0,0,0.98,0,17.67,0.98,17.67,24.54,0,0.98,0,5.89,44.17,1.96,1.96,0,6.87,0,27.49,1.96,0,123.69,51.05,0,43.19,0.98,29.45,82.46,0,0,4.91,0.98,25.52,0,7.85,14.72,0,0,0
 84-94,0,0,0,1.06,19.12,1.06,44.61,16.99,0,4.25,1.06,0,73.28,7.43,0,0,12.74,1.06,23.36,6.37,0,121.07,42.48,0,50.98,2.12,71.16,93.46,0,0,4.25,1.06,40.36,0,2.12,40.36,0,0,0
 96-106,0,0,0,0,25.14,5.46,43.71,30.6,1.09,5.46,0,6.56,78.68,0,1.09,1.09,8.74,0,30.6,2.19,1.09,60.11,49.18,0,27.32,1.09,88.52,127.86,0,1.09,13.11,1.09,33.88,0,5.46,68.85,0,1.09,0
108-118,0,0,0.77,0.77,17.62,0.77,80.43,20.68,0,0.77,0,4.6,84.26,0,0.77,0.77,10.72,0,14.55,6.13,0,34.47,26.04,0.77,32.94,0.77,50.55,94.21,0,0,8.43,0.77,36,0,4.6,72,1.53,0.77,0.77
120,0,0,0,1.96,17.64,0,43.12,31.36,0,1.96,0,1.96,119.55,0,3.92,0,9.8,1.96,27.44,7.84,0,23.52,21.56,0,29.4,1.96,33.32,74.47,0,0,9.8,0,21.56,0,0,33.32,0,0,0
