stage,axial,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,0,0,1,1,0,0,0,5,0,0,0,0,0
 24-34,0,0.82,0,0,4.1,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,34.48,0,0.82,0,0,0.82,0,0.82,13.13,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,2.42,0,0,0,0,0,0,0,0,1.61,0,0.81,115.21,0,0.81,0,0,0.81,0,0,24.98,0,0,0,0,0
 48-58,0,0,0,0,7.46,0.57,0,2.87,0,0,0,0,0,0,0,0.57,1.15,0,0,163.53,0,0,0,0,0.57,0.57,0,23.53,0,0,0,0,0
 60-70,0,1.96,0,0,45.15,0,0,4.91,0,0,0,0,0,0,0,0,4.91,0,0,407.33,0,0,0,0,0,1.96,0,34.35,0,0,1.96,0,0.98
 72-82,0,4.91,1.96,0,148.23,0,0,17.67,0,0.98,0.98,0,0.98,0,0,0,10.8,0,2.94,687.16,0,1.96,0,0,0,0,0,34.36,0,0.98,0.98,0.98,1.96
 84-94,0,6.37,1.06,0,114.7,1.06,0,6.37,0,0,3.19,0,0,0,0,0,6.37,0,2.12,334.54,3.19,0,0,0,4.25,1.06,0,16.99,0,0,0,0,0
 96-106,0,8.74,3.28,0,127.86,0,2.19,12.02,1.09,0,1.09,2.19,0,1.09,2.19,0,16.39,0,3.28,377.03,1.09,0,0,0,0,0,0,20.76,2.19,0,1.09,1.09,0
108-118,0,3.06,0,0.77,101.11,0,0.77,9.19,0.77,0,1.53,1.53,0,0,0.77,0,3.06,0.77,1.53,345.45,0.77,3.06,0,0,2.3,0,0,11.49,0,0.77,1.53,1.53,0
120,0,11.76,0,0,107.79,0,0,5.88,1.96,0,3.92,0,0,1.96,1.96,0,9.8,0,0,454.67,0,0,0,0,1.96,0,0,13.72,0,0,0,0,0
