stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0.82,0,0,0,1.64,0,0,0,0,1.64,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0.81,1.61,11.28,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,4.02,0,0,1.15,26.4,0,0,0,0,0,0,1.72,0,0,0.57,0,0
 60-70,0,0,0.98,0,2.94,0.98,0,0,0,0,0,0,7.85,0.98,0,0.98,62.82,0,0,0.98,0,1.96,0,1.96,0,0,0.98,0,0
 72-82,0,0,0.98,0,10.8,0,0,0,0,0.98,0,0.98,24.54,0,0,0.98,49.08,0,0,0,0,1.96,0.98,0.98,0,0,0.98,0.98,0
 84-94,0,0,0,0,8.5,0,3.19,0,0,0,0,1.06,8.5,0,1.06,2.12,31.86,0,0,0,0,5.31,0,3.19,0,0,0,1.06,2.12
 96-106,0,0,1.09,0,3.28,0,2.19,1.09,0,0,0,0,10.93,0,1.09,1.09,28.41,1.09,0,0,0,1.09,0,1.09,0,1.09,3.28,0,0
108-118,0,0.77,1.53,0,3.83,0,0,0.77,0,0,0,0,3.83,0,0,0,34.47,0,0,0,0,0.77,0,0,0.77,0,0.77,0,0
120,0,0,1.96,0,3.92,0,1.96,0,0,0,1.96,0,0,0,0,0,31.36,0,1.96,1.96,0,0,0,0,1.96,1.96,0,0,0
