stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,vasculature
  3-4,39.53,843.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0
  5-6,24.52,324.87,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0
  7-9,10.51,2.63,23.66,0,0,10.51,0,0,13.14,0,0,0,0,184.01,5.26,97.26,0,5.26,0,0,0
 10-12,0,15.73,59.79,0,9.44,18.88,0,0,6.29,0,0,0,0,365.05,6.29,173.08,0,9.44,6.29,37.76,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0.82,0,0,7.39,0,0,2.46,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,7.25,0,0,0.81,0,0,0,0.81
 48-58,0,0,0,0,0,1.15,0,0.57,0,0,0.57,0,0,0.57,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,3.93,0,0,0,0.98
 72-82,0,0,0,1.96,0,0.98,0,0.98,0,0,1.96,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,1.06,2.12,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,5.46,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0.77,0,0,2.3,0,0,0.77,0
120,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,0,1.96,0,0,0,1.96
