stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,30.65,582.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,18.39,0,0,0,0,0,0,0,0
  7-9,5.26,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,5.26,0,0,44.69,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,81.82,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,149,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,3,6,2,0,0,0,0,1,4,0,1,5,0,0,0,0
 24-34,0,0,1.64,107.53,0,0,0,0,10.67,0,0.82,0.82,0,0.82,0,0.82,0,0,0.82,1.64,1.64,0,0.82,14.78,9.85,2.46,0.82,0,0,7.39,0,3.28,0,2.46,0,0.82,0,0
 36-46,0,0,0.81,55.59,0,0,0.81,0,15.31,0,0,0.81,0,0,0.81,0,0,0,0,2.42,0,0,0.81,12.89,16.92,0,0,0,0,9.67,0,1.61,0,8.06,0,0,0,0
 48-58,0,0,0,39.02,0,0,2.3,0,10.9,0,1.15,0,0,0.57,1.15,0,0,1.15,0,2.87,0,0,0.57,6.89,6.89,0,0,0,0,4.02,0,0,0,4.02,0,0,0,0.57
 60-70,0,0,0,46.13,0,0,4.91,0,17.67,0,1.96,4.91,0,0.98,1.96,0.98,0,0.98,0.98,8.83,1.96,0,0,3.93,5.89,0,0,0,0,5.89,0,0,0,0.98,0,0.98,0,0
 72-82,0,0,0,38.28,0.98,0,2.94,0,20.61,1.96,4.91,2.94,0.98,0,0.98,0,0,1.96,0.98,11.78,0.98,0,0,3.93,1.96,0.98,0,0,0.98,7.85,0,0,0,2.94,0,0.98,0,0.98
 84-94,0,0,0,129.57,0,0,16.99,0,27.61,0,3.19,11.68,1.06,1.06,1.06,4.25,1.06,0,0,7.43,0,1.06,0,5.31,4.25,1.06,0,0,0,19.12,0,2.12,0,1.06,0,0,0,0
 96-106,0,0,0,89.61,2.19,0,21.86,1.09,27.32,0,5.46,9.84,0,2.19,5.46,2.19,1.09,1.09,0,13.11,1.09,1.09,1.09,17.49,5.46,2.19,1.09,0,0,21.86,0,0,0,1.09,0,0,2.19,0
108-118,0,0,0,117.96,0,2.3,28.34,0,37.53,0.77,6.13,26.81,0,0.77,3.06,2.3,1.53,1.53,1.53,7.66,1.53,0.77,0.77,10.72,5.36,3.06,1.53,0,0,14.55,0,0.77,0,0.77,0.77,0.77,0.77,1.53
120,0,0,0,107.79,0,1.96,7.84,0,21.56,1.96,1.96,23.52,0,0,5.88,0,0,1.96,1.96,11.76,0,0,1.96,7.84,11.76,0,0,0,0,7.84,0,3.92,0,0,0,1.96,0,0
