stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,10.51,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,160.5,0,0,3.15,78.67,0,0,0,0,0,0,0,0
 14-21,0,1,0,33,45,0,1,0,1,0,3,0,0,0,0,0,0,0,12,0,0,6,23,2,0,1,10,0,9,115,10,1,13,18,0,0,3,0,0
 24-34,0,0,0,19.7,0.82,0,0,0,4.1,14.78,0.82,0,0,0,0,0,0,0,71.41,0,0,30.37,15.6,3.28,0.82,0.82,0,0,5.75,0,0.82,0,25.45,14.78,0,0,3.28,0,0.82
 36-46,0,0,0,20.14,0,0,1.61,0,10.47,29.81,0,0,0.81,0,0.81,0,0,0,74.93,0,1.61,38.67,17.72,6.45,0,0,0,0,4.03,0,0,0,0,3.22,0,1.61,5.64,0,0
 48-58,0,0,0,12.05,0.57,0,7.46,0.57,7.46,28.69,2.3,0,3.44,0,0,0.57,0,0,144.6,0,3.44,35.58,19.51,2.3,0.57,0,0,0,1.72,0,0,1.15,0,3.44,0,0.57,3.44,0.57,1.15
 60-70,0,0,0,34.35,1.96,0,11.78,0,23.56,35.33,0.98,0,4.91,0,0,0,0,0,268.94,0.98,3.93,34.35,13.74,3.93,0,1.96,0,5.89,0,0,0,0,0,2.94,0,1.96,5.89,0.98,0.98
 72-82,0,0,0,28.47,0,0,10.8,1.96,5.89,36.32,10.8,0,5.89,0.98,0.98,0,0,0.98,326.89,0,11.78,23.56,23.56,0,0.98,0.98,0,16.69,0.98,0,0,0,0,0.98,0,14.72,12.76,5.89,0
 84-94,0,0,0,44.61,0,0,10.62,0,16.99,33.99,6.37,0,4.25,1.06,0,0,0,1.06,264.45,1.06,12.74,21.24,12.74,3.19,1.06,2.12,0,10.62,2.12,0,1.06,0,0,4.25,1.06,5.31,9.56,3.19,0
 96-106,0,0,0,27.32,0,0,7.65,2.19,16.39,22.95,2.19,0,2.19,0,0,0,0,1.09,204.36,0,13.11,15.3,19.67,1.09,0,4.37,0,27.32,1.09,0,0,1.09,0,1.09,0,14.21,4.37,3.28,0
108-118,0,0,0.77,34.47,1.53,0.77,4.6,2.3,29.87,23.74,4.6,0.77,0.77,0,3.06,1.53,0,0,137.87,0,10.72,10.72,16.85,0.77,0,0.77,0,22.98,1.53,0,0,0,0,0.77,0,5.36,6.13,1.53,0
120,0,0,0,25.48,0,0,5.88,9.8,17.64,13.72,0,0,1.96,1.96,3.92,0,1.96,3.92,111.71,0,3.92,7.84,13.72,0,0,0,0,33.32,1.96,0,0,0,0,0,0,11.76,9.8,3.92,0
