stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,4,8,1,0,0,0,1,0,0,0,0,0,0,2,0,6,28,1,0,1,0,0,0,3,0,0,3,10,0,0,1,0
 24-34,0,0,9.85,1.64,27.09,0,0,0.82,5.75,0.82,0,0,0,0,0,17.24,0.82,8.21,160.89,0,0.82,2.46,0,0,0.82,0,0.82,1.64,7.39,31.19,0,0,6.57,0
 36-46,0,0,1.61,0.81,64.45,0.81,0.81,0.81,8.06,0,0,0,0,0,0,24.17,0.81,3.22,146.63,0,0,0,0,0,0,0,0,0,0,20.14,0,0,4.83,0
 48-58,0,0,0,0,88.94,0,0,0.57,10.9,0.57,0,0,0,1.15,0,28.12,1.72,6.31,108.45,0.57,0,0.57,0,0,0,0,0,0,0,18.94,0,0,4.02,0
 60-70,0,0,0.98,0,191.4,2.94,0,0.98,8.83,0,0,0,0,0,0,37.3,0.98,2.94,61.84,0.98,0,1.96,0.98,0,0,0,0,0,0,4.91,0,0,0.98,0
 72-82,0,0,1.96,0,148.23,3.93,0,0,5.89,0.98,0,0,0,0,0,85.4,5.89,6.87,41.23,0,1.96,1.96,0,0,0,0,0,0.98,0,1.96,0,2.94,1.96,0.98
 84-94,0,0,3.19,0,134.88,4.25,0,0,4.25,2.12,0,0,0,0,0,48.85,4.25,3.19,15.93,0,0,0,0,0,0,0,2.12,0,0,3.19,1.06,1.06,3.19,4.25
 96-106,0,0,3.28,0,103.82,6.56,0,0,8.74,2.19,1.09,1.09,1.09,0,1.09,27.32,5.46,3.28,10.93,0,2.19,2.19,0,0,1.09,0,0,0,0,4.37,0,1.09,2.19,1.09
108-118,0,0,1.53,0,63.57,2.3,0.77,0,5.36,0,0,0,0,0,0,36,4.6,3.06,13.79,0,0,2.3,0,0,0.77,0,0.77,0,0,1.53,0,0.77,3.06,0
120,0,0,0,0,78.39,9.8,0,0,5.88,1.96,0,0,0,0,0,27.44,1.96,1.96,29.4,0,0,1.96,0,3.92,0,0,1.96,0,0,1.96,0,0,0,0
