stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,13.14,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544.14,5.26,0,0,149.84,0,0,0,0,0,0,0,0,0,0
 10-12,44.06,18.88,0,6.29,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840.24,6.29,0,0,144.76,0,3.15,0,9.44,0,0,0,0,0,0
 14-21,0,2,195,5,17,0,7,0,1,2,0,4,0,0,0,0,0,0,42,0,0,2,205,1,2,5,12,0,5,6,2,54,0,0,2,0,0
 24-34,0,0,41.86,0,59.92,0,28.73,0,5.75,1.64,0,5.75,0,0,0,1.64,0,0,11.49,0.82,0,1.64,274.99,1.64,0.82,4.1,0,0,29.55,0,4.1,32.83,0,0,0.82,0,0
 36-46,0,0,10.47,0.81,33.84,0,16.11,0,12.89,0,0,4.03,0,0,0,0,0,0,8.86,0.81,0,1.61,351.27,0,1.61,0.81,0,0,14.5,0,1.61,29.81,0,0,0.81,0,0.81
 48-58,0,0,6.31,0,29.26,0,9.75,1.15,12.62,0.57,0,4.02,0,0.57,0,0.57,0,0,10.9,0,0.57,1.15,216.32,0,1.15,1.72,0,0.57,14.35,0,0.57,17.79,0,0,1.15,0,0.57
 60-70,0,0,6.87,0,84.41,0,16.69,3.93,32.39,0,0,1.96,0,0,0,0,0,0,24.54,0,0,2.94,218.88,0,3.93,3.93,0,0,12.76,0,1.96,13.74,0,0,0.98,0.98,1.96
 72-82,0,0,0.98,0,84.42,0.98,8.83,1.96,16.69,0,0.98,4.91,0,0,0,0,0,0,14.72,0.98,0.98,2.94,104.06,0,3.93,3.93,0,0,6.87,0,0,7.85,2.94,0,0.98,0.98,0
 84-94,0,0,9.56,0,69.03,1.06,18.05,1.06,20.18,0,0,1.06,0,1.06,0,0,0,0,10.62,0,1.06,2.12,67.97,0,4.25,5.31,0,0,6.37,0,1.06,3.19,3.19,0,1.06,1.06,0
 96-106,0,0,7.65,0,81.96,0,14.21,0,24.04,1.09,0,4.37,1.09,2.19,1.09,0,1.09,1.09,12.02,0,0,1.09,51.36,0,7.65,4.37,0,0,4.37,0,1.09,0,3.28,2.19,1.09,1.09,1.09
108-118,0,0,1.53,0,58.21,0,13.02,2.3,13.02,0.77,0,0,0,0.77,0.77,0,0,0,10.72,0,0,0.77,53.62,0,2.3,5.36,0,0,1.53,0,3.06,2.3,1.53,0,0,1.53,0
120,0,0,1.96,0,35.28,0,21.56,0,15.68,0,0,0,1.96,0,0,0,0,0,7.84,0,0,0,64.67,0,5.88,0,0,0,3.92,0,3.92,1.96,1.96,0,0,0,0
