stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,195.11,0,0,0,0,0,0,0,0,0,53.5,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,12,10,1,0,0,0,0,1,11,0,0,0,0,0,1,0,0,0,17,0,0,0,2,0,1,0,0,1,14,0,2,0,0
 24-34,0,0,0,2.46,0,3.28,0,0,0,0.82,0,0,1.64,0,0,0.82,0,6.57,0,0,4.1,22.98,0,0,0,0,0,0,0,0,0,14.78,0,13.95,0,0
 36-46,0,0,0,0,0,91.04,0,0,0.81,2.42,0,0,0,0,0,0,0,4.83,0,0,2.42,21.75,0,0,0.81,0,0.81,0,0,0,0,4.83,0,3.22,0,0
 48-58,0,0,0,0.57,0,497.49,0,1.15,0.57,2.87,0,0,0,0.57,0,0,0,6.89,0,0,2.87,41.89,0,0,0,0,1.15,0,0,0,0,8.03,0.57,6.31,0,0
 60-70,0,0,0,0.98,0,868.65,0.98,0,0,4.91,0,0,0,0,0,0,0,10.8,0.98,0,0,25.52,0,0,0,0,0.98,0,0.98,0,0,3.93,0.98,1.96,0,0.98
 72-82,0,0,0,0.98,0,660.66,0.98,0,1.96,2.94,0,0.98,0.98,0,0,0,0.98,13.74,0,0,0,20.61,0,0,0,0,0,0,0,0,0,1.96,0,6.87,0,0
 84-94,0,0,0,4.25,0,691.39,1.06,1.06,1.06,7.43,0,0,0,1.06,1.06,1.06,0,11.68,0,1.06,1.06,18.05,1.06,0,0,0,0,0,0,0,0,2.12,0,2.12,0,0
 96-106,0,0,0,3.28,2.19,433.86,0,1.09,0,2.19,0,0,0,3.28,1.09,0,0,9.84,0,1.09,0,10.93,0,0,0,0,1.09,0,0,1.09,0,1.09,0,5.46,1.09,0
108-118,0,0,0,3.83,0,327.07,0,0,0,3.06,0.77,0,0,0,0.77,0.77,1.53,4.6,0,0,0,12.26,0.77,0.77,0,0,0.77,0,0,0,0,0.77,0,3.06,0,1.53
120,0,0,0,0,1.96,243.01,0,0,1.96,3.92,0,0,0,0,0,0,0,1.96,0,0,0,15.68,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0
