stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,taste,visceral.smooth.muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,4.1,0,0,0,0,0,0,0,0.82,1.64,3.28,2.46,0,8.21,0,0,0,0,4.1,0,0,0
 36-46,0,0,2.42,0,0,0.81,0,0,0,0,0.81,0.81,4.83,2.42,0,6.45,0,0.81,0,0,2.42,0,0,0
 48-58,0,0,1.15,0,1.15,0,1.15,0,0,0,1.15,1.72,3.44,2.87,0.57,3.44,0,0,0.57,0,9.75,0,0,0
 60-70,0,0,5.89,0,0,0,0,0,0,0,0,1.96,11.78,1.96,0,2.94,0,0,0,0,12.76,0,0,0
 72-82,0,0,1.96,0,0.98,0.98,2.94,0,0.98,0,0,1.96,6.87,4.91,0.98,2.94,0,0,0.98,0,18.65,0,0.98,0
 84-94,0,0,7.43,0,0,1.06,0,0,0,1.06,2.12,3.19,4.25,3.19,1.06,2.12,0,0,0,0,29.74,0,1.06,1.06
 96-106,0,0,14.21,0,1.09,1.09,1.09,0,0,1.09,0,7.65,5.46,10.93,0,6.56,0,2.19,1.09,0,78.68,0,5.46,1.09
108-118,0,0,10.72,0,0,3.83,0,0.77,0.77,0,4.6,2.3,9.96,2.3,0.77,6.13,0,0.77,1.53,0,40.6,0,0.77,0
120,0,0,15.68,0,0,9.8,0,0,3.92,0,3.92,3.92,11.76,7.84,0,11.76,0,3.92,0,0,94.07,0,0,0
