stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,100.7,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,9,0,1,0,0,0,0,0,0,0,1,0,1,0,3,199,4,3,0,1,0,13,0,1,19,94,0,0,0,0,0
 24-34,0,0,3.28,0,4.93,0,0,0,1.64,0,0,0,0,0,5.75,0.82,14.78,254.47,0.82,32.83,0,0,3.28,0,0,0,3.28,155.96,0,0,0.82,0,0.82
 36-46,0,0,1.61,0,8.86,0,0.81,1.61,0,0.81,0,0,0,0,3.22,0,0.81,178.86,0,23.36,0,0,0.81,0,0,0,0,178.86,0,0,0,0,0
 48-58,0,0,0,0,13.77,0.57,0.57,1.15,5.16,0,0.57,0,0,0.57,6.31,0,4.59,99.27,0.57,21.23,0,0,0,0,0.57,0,0,156.07,0,0,0,0,0.57
 60-70,0,0,11.78,0,8.83,0.98,0.98,0,2.94,0,0,0,0.98,0,12.76,1.96,2.94,44.17,0,19.63,0,0,0,0,0,0,0,108.95,0,0,0,0,0
 72-82,0,0,8.83,0,10.8,0,0,0,8.83,0,0,0,0,0,9.82,0,1.96,35.34,0,38.28,0,0,0,0,0,0,0,33.38,0,0,0.98,0,1.96
 84-94,0,0,19.12,0,11.68,0,1.06,0,3.19,1.06,0,0,2.12,0,8.5,1.06,1.06,21.24,0,82.84,0,0,0,0,0,0,0,28.68,3.19,0,0,1.06,0
 96-106,0,0,49.18,2.19,2.19,0,1.09,0,4.37,4.37,0,1.09,2.19,0,1.09,2.19,0,16.39,1.09,122.4,0,0,2.19,0,0,0,0,13.11,6.56,0,2.19,0,0
108-118,0.77,0,32.94,0.77,4.6,1.53,0,0,2.3,3.83,0,0,2.3,0,3.06,2.3,1.53,19.15,0,68.17,0.77,0,0.77,0,0.77,0,0,3.83,0.77,0.77,0,0.77,0
120,0,0,27.44,0,3.92,0,0,0,1.96,3.92,0,0,0,0,1.96,1.96,0,9.8,0,37.24,1.96,0,0,0,0,0,0,3.92,0,0,0,0,0
