stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,698.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,478.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,26.29,0,0,0,26.29,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,244.47,13.14,0,0,94.63,0,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,15.73,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.14,12.59,0,0,94.41,0,3.15,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,27,2,0,4,0,0,0,2,1,0,0,0,1,0,0,0,1,5,0,7,43,3,1,2,3,0,40,0,8,2,6,29,0,0,2,0,0
 24-34,0,0,0,0,3.28,0,0,12.31,0,0,0.82,0.82,0.82,0,0.82,2.46,4.93,0,0.82,1.64,4.93,10.67,0,7.39,74.7,4.93,1.64,2.46,0,0,49.25,0,0,8.21,1.64,25.45,0,0,7.39,0,1.64
 36-46,0,0,0,0,0.81,0,0,9.67,0,0,0,1.61,0,0,0.81,3.22,0,0,0,0.81,19.34,14.5,0,0.81,51.56,3.22,1.61,2.42,0,0,33.84,0,0,3.22,0,21.75,0,0,7.25,0,2.42
 48-58,0,0,0,0,2.87,0,0,18.36,0,0.57,0,6.89,0,0,1.15,1.72,0.57,1.15,0.57,0.57,21.8,18.36,0,3.44,37.3,1.15,0.57,2.87,0,0,17.79,0,0,0.57,0,10.9,0,0,9.18,0,2.87
 60-70,0,0,0,0,0.98,0,0,21.59,0,1.96,1.96,26.5,0.98,0,0,5.89,0,0,3.93,0.98,3.93,23.56,0,1.96,37.3,0,0.98,5.89,0,0,23.56,0,0,0,0,5.89,0,0,4.91,0,2.94
 72-82,0,0,0.98,0,4.91,0.98,0,23.56,0,0,0.98,37.3,1.96,0,1.96,8.83,0,2.94,9.82,0,4.91,50.06,1.96,3.93,36.32,3.93,1.96,10.8,0,1.96,28.47,0,0,2.94,0,6.87,0,0.98,15.71,1.96,4.91
 84-94,0,0,1.06,1.06,5.31,0,0,32.92,0,0,2.12,19.12,2.12,0,0,12.74,1.06,2.12,4.25,1.06,4.25,24.43,1.06,1.06,26.55,1.06,1.06,13.81,0,1.06,82.84,0,0,13.81,0,2.12,1.06,1.06,5.31,0,2.12
 96-106,0,0,1.09,1.09,12.02,0,1.09,21.86,0,3.28,0,29.51,8.74,0,1.09,14.21,4.37,3.28,17.49,1.09,4.37,38.25,1.09,3.28,24.04,1.09,3.28,19.67,0,0,89.61,0,0,10.93,0,3.28,0,0,12.02,1.09,1.09
108-118,0,0,1.53,0,16.85,1.53,0.77,36,0.77,2.3,1.53,28.34,9.19,0,0,6.89,6.89,6.13,7.66,3.06,6.13,31.4,1.53,2.3,27.57,0,2.3,9.19,0,0,47.49,0,0,8.43,0,1.53,1.53,0,13.02,0.77,2.3
120,0,0,0,0,15.68,0,1.96,17.64,0,1.96,0,21.56,5.88,0,0,19.6,1.96,7.84,13.72,3.92,1.96,31.36,0,0,13.72,3.92,1.96,11.76,0,1.96,37.24,0,1.96,3.92,0,3.92,0,0,3.92,0,1.96
