stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,224.02,3558.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711.61,0,0,0,0,0,0,0,0,0,0
  5-6,177.76,2255.71,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,24.52,422.94,0,0,0,0,0,0,0,0,0,0
  7-9,55.2,2.63,0,10.51,0,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,123.55,10.51,0,0,31.54,21.03,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,25.18,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.85,40.91,0,0,6.29,6.29,6.29,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,46,686,216,0,24,0,11,0,7,71,0,2,1,15,0,0,9,0,112,2,0,57,103,314,0,3,19,113,0,28,63,52,209,0,0,85,0,0
 24-34,0,0,0,27.91,193.72,24.63,0,40.22,0,44.33,13.95,8.21,12.31,0,5.75,0.82,50.07,0,3.28,16.42,1.64,81.26,12.31,0,57.46,176.48,49.25,0,6.57,0,210.14,0,0,20.52,38.58,119.84,0,0,260.21,0,0
 36-46,0,0,0,2.42,38.67,1.61,0,21.75,0,22.56,27.39,9.67,9.67,0,8.86,1.61,12.09,4.03,0,4.83,0,88.62,2.42,0.81,41.89,91.85,21.75,3.22,4.03,0,179.66,0.81,0,9.67,0,52.37,0,0,128.1,0,0
 48-58,0,0,0,0.57,40.74,1.15,0,51.07,0,24.67,31.56,12.62,4.02,0,5.16,0,5.16,0.57,1.15,2.3,0,146.89,1.15,3.44,26.97,72.87,14.92,1.72,1.15,0,129.68,0,0,5.74,0,38.44,0,0,131.4,0.57,0
 60-70,0,0,0,0,53,0.98,0,38.28,0,22.58,39.26,9.82,13.74,0,2.94,0,9.82,0,0.98,6.87,0,174.71,1.96,1.96,10.8,41.22,7.85,2.94,4.91,0,298.38,0,0,9.82,0,24.54,2.94,0.98,99.13,1.96,1.96
 72-82,0,0,0.98,1.96,104.06,1.96,0,65.77,0,19.63,49.08,14.72,63.81,0,1.96,15.71,25.52,0.98,2.94,18.65,0,269.96,5.89,2.94,21.6,70.68,7.85,0.98,6.87,0,532.06,0,0,6.87,0,30.43,6.87,1.96,184.55,8.83,0.98
 84-94,1.06,0,0,2.12,172.05,0,1.06,96.65,0,90.27,53.1,7.43,100.89,0,1.06,9.56,53.1,1.06,1.06,72.22,0,169.93,9.56,7.43,14.87,44.61,11.68,4.25,8.5,0,1287.19,0,0,22.3,0,22.3,22.3,2.12,178.42,7.43,1.06
 96-106,0,0,2.19,1.09,401.07,7.65,0,81.96,1.09,122.4,40.44,14.21,159.56,0,1.09,30.6,85.24,0,3.28,76.5,0,169.39,22.95,5.46,7.65,96.17,10.93,10.93,8.74,0,1721.23,0,0,18.58,0,42.62,66.66,1.09,227.31,4.37,3.28
108-118,0.77,0,0,0.77,444.26,1.53,2.3,81.19,0,184.6,32.94,7.66,159.32,0,0.77,26.81,80.43,3.83,0,159.32,0,146.3,33.7,4.6,13.02,90.38,15.32,8.43,12.26,0,1341.97,0,0,21.45,0,20.68,62.81,0.77,163.15,3.06,1.53
120,0,0,0,0,321.4,3.92,1.96,56.83,0,103.87,17.64,1.96,92.11,0,0,33.32,31.36,0,3.92,86.23,0,88.19,33.32,0,5.88,74.47,11.76,11.76,9.8,0,691.8,0,0,13.72,0,9.8,29.4,0,115.63,7.84,0
