stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.02,6.29,0,0,53.5,0,0,15.73,0,0,6.29,0,0,0
 14-21,1,0,30,162,7,4,0,0,0,45,18,0,0,0,0,0,0,0,2,41,0,0,35,72,1,0,3,0,1,1,7,8,16,436,6,0,0
 24-34,0,0,9.03,74.7,0.82,4.1,0,0.82,0.82,55,4.93,0,1.64,0.82,0.82,0,0,1.64,4.1,45.97,0,0,60.74,197.83,1.64,4.1,9.03,0,0,0,0.82,10.67,7.39,421.92,16.42,0,0
 36-46,0,0,0,3.22,0,1.61,0,0.81,3.22,9.67,0,0,1.61,0,0.81,1.61,0,0,3.22,33.84,0,0.81,16.92,115.21,3.22,0,0,0,0.81,0,1.61,0.81,0,165.97,2.42,0,0.81
 48-58,0,0,0,1.72,0,2.87,0,1.72,4.59,5.74,0,0,0,0,0,0.57,0,0,2.87,27.54,0.57,0,5.74,49.92,0.57,0.57,0,0,0,0,0,0.57,0,40.74,0,0,0.57
 60-70,0,0,0,0,0,11.78,0,0,2.94,1.96,0,0,0,0,0,0,0.98,0,1.96,20.61,0.98,0.98,1.96,28.46,1.96,2.94,0,0,0,0,0,0,0,19.63,0,0,0
 72-82,0,0,0,1.96,0,16.69,0,0.98,2.94,8.83,0,0,0,0,0,0.98,0.98,0,0,28.47,0,0,3.93,25.52,0,0,0,0,0,0,0,0,0,6.87,0.98,0.98,0
 84-94,0,0,0,4.25,1.06,11.68,0,0,1.06,3.19,1.06,1.06,0,0,2.12,0,0,0,3.19,21.24,0,0,1.06,13.81,1.06,1.06,0,0,0,0,1.06,0,0,11.68,0,1.06,0
 96-106,0,0,0,4.37,0,7.65,1.09,1.09,1.09,1.09,1.09,0,0,1.09,0,0,0,0,0,18.58,0,0,3.28,21.86,2.19,4.37,1.09,0,2.19,0,0,0,0,2.19,3.28,0,0
108-118,0,0,0,2.3,0,6.13,0,0.77,3.06,3.83,1.53,0,0,0.77,1.53,0.77,0,0,1.53,11.49,0,0,3.06,27.57,0,0.77,0,0,0,0,0,0,0,1.53,0,0,0.77
120,0,0,0,11.76,0,3.92,0,0,0,3.92,0,0,0,0,1.96,1.96,0,0,0,9.8,0,0,0,21.56,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0
