stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,94.41,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,6,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,104,0,1,0,1,0,1,1,0,2,52,0,0,2,0,0
 24-34,0,1.64,0,2.46,0,15.6,0,5.75,0,2.46,0,0,1.64,0,0,1.64,0,0,0.82,6.57,0,0,9.03,313.57,0,8.21,2.46,0,0,3.28,0,0,0,91.12,0,0,4.1,0,0
 36-46,0,0.81,0,1.61,0.81,41.89,0,0.81,0,6.45,0,0,0,0,0,0,0.81,0.81,3.22,7.25,0.81,0.81,2.42,464.07,0,2.42,0,0,0,5.64,0,0,0,105.54,0,0,6.45,0,0
 48-58,0,0,0,2.3,0.57,125.66,0.57,4.59,0.57,33.28,0,1.15,1.15,0,0,0,1.72,0,5.16,16.07,0,1.15,6.89,535.36,0,4.02,1.72,0,0,6.31,0,0,0,106.15,0,0,1.15,0,1.15
 60-70,0,0,0,2.94,0.98,258.14,0.98,0,0,35.33,0.98,0,0,0,0,0,0.98,0,1.96,21.59,0,2.94,2.94,626.21,0,0,1.96,0,0,9.82,0,0,0,65.76,0,0.98,2.94,0.98,0.98
 72-82,0,0,0,3.93,1.96,352.42,1.96,0,1.96,53.01,0.98,0,3.93,0,0.98,1.96,2.94,0.98,3.93,66.75,0,2.94,3.93,586.05,0,8.83,0.98,0,1.96,1.96,0,0,0,42.21,0,0.98,12.76,1.96,2.94
 84-94,0,0,0,3.19,1.06,193.29,0,2.12,0,30.8,2.12,0,3.19,0,0,1.06,7.43,0,1.06,27.61,0,0,3.19,260.2,0,4.25,9.56,0,0,9.56,0,0,0,20.18,2.12,3.19,6.37,1.06,0
 96-106,0,1.09,0,7.65,2.19,184.69,0,3.28,2.19,33.88,1.09,0,1.09,0,0,2.19,3.28,0,5.46,27.32,0,4.37,5.46,205.46,0,7.65,4.37,0,0,4.37,0,0,0,10.93,1.09,0,7.65,3.28,1.09
108-118,0,1.53,0,8.43,0,144,0,0,0,23.74,1.53,0,0,0.77,0,1.53,3.83,1.53,8.43,24.51,0,0.77,2.3,255.83,0,6.89,6.13,0,0,2.3,0,1.53,0,6.89,2.3,0,9.19,0.77,0
120,0,0,0,1.96,1.96,131.31,0,3.92,0,33.32,3.92,0,0,0,0,3.92,7.84,0,0,9.8,0,0,1.96,244.97,0,1.96,5.88,0,1.96,3.92,0,1.96,0,9.8,3.92,0,0,0,0
