stage,blastomeres,epidermis,eye,fin_epithelia,glial,mesenchyme,mural_cell,muscle,neural,notochord,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0.82
 36-46,0,0,0.81,0,0,0,0,0,2.42,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0.57,0,0,6.31,0,0,0,0,0,0,0
 60-70,0,0,1.96,0,0,11.78,2.94,0.98,2.94,0,0,0,1.96,0,1.96,0
 72-82,0,0,1.96,0,0,44.17,1.96,0.98,2.94,0,0,0,0,0,16.69,0
 84-94,0,1.06,5.31,0,1.06,24.43,3.19,0,3.19,0,0,1.06,1.06,0,15.93,0
 96-106,0,1.09,4.37,1.09,2.19,66.66,8.74,0,7.65,1.09,1.09,0,2.19,1.09,24.04,0
108-118,0,0,3.06,0,0.77,91.15,3.06,0.77,6.89,0,0,0,0.77,0,16.85,0
120,0,1.96,3.92,0,0,94.07,1.96,0,7.84,0,0,0,1.96,0,5.88,0
