stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,6.29,0,0,0,0,0
 14-21,0,0,4,1,1,0,0,0,0,0,0,0,1,2,7,0,0,0,1,1,2,0,0
 24-34,0,0,0,0.82,1.64,0,0,0,0,0,0,0,0.82,0.82,0.82,0.82,0,0,2.46,0,1.64,0,0
 36-46,0,0,0.81,0,0,0,0,3.22,0,0.81,0,0,6.45,0.81,14.5,1.61,0,0,1.61,0,2.42,1.61,0
 48-58,0,0,0,0.57,0.57,1.15,0,0,0,0,0,0,1.15,0,2.3,0,0,0,0,0,0,1.15,0.57
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,3.93,0,0,0,4.91,0,0,0,0
 72-82,0,0,0.98,0,2.94,0,0.98,2.94,0,0,0,0,6.87,2.94,8.83,0.98,1.96,0,3.93,0,2.94,1.96,0
 84-94,0,0,0,1.06,0,0,1.06,2.12,1.06,0,0,0,1.06,0,2.12,0,0,0,4.25,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,1.09,2.19,0,3.28,0,0,0,3.28,0,0,0,0
108-118,0,0,0,0.77,0.77,0,0,0,0,0.77,0.77,0,1.53,0,3.06,0,0,0,3.06,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,3.92,1.96,0,0,0,0,0,1.96,0
