stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,144.96,3413.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0
  5-6,73.56,894.93,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,36.78,6.13,0,0,6.13,24.52,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,13.14,0,0,0,18.4,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,254.99,5.26,0,0,92,7.89,5.26,0,0,0,0,0,0,0,0
 10-12,0,15.73,25.18,0,3.15,0,31.47,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,405.96,6.29,0,0,195.11,6.29,3.15,0,37.76,0,0,0,0,0,0
 14-21,1,0,7,43,11,0,27,0,0,0,6,2,1,0,0,0,0,0,0,0,20,0,10,276,2,4,4,12,8,0,24,3,1,15,125,0,1,0
 24-34,0,0,0,8.21,0.82,0,73.06,0,1.64,0,9.03,0.82,0,0,0,0.82,0.82,1.64,1.64,0,36.94,0,24.63,413.71,2.46,5.75,7.39,0,6.57,0,0,0,0,4.1,111.64,0,4.1,0
 36-46,0,0,0.81,3.22,0.81,0,107.15,0,0,0,7.25,0.81,0,1.61,0,0.81,0,0,2.42,0.81,42.7,0.81,10.47,250.56,0,4.83,1.61,0,4.03,0,1.61,0.81,0,0,68.48,0,1.61,0
 48-58,0,0,0,4.59,0,0,82.05,0.57,0.57,0,9.18,1.15,0,0.57,0,0.57,0.57,0,0.57,0,35.58,1.15,6.31,103.86,0,1.72,2.3,0,2.87,0,0,0,0,0,17.21,0,1.72,0
 60-70,0,0,0,4.91,0,0,59.87,0.98,0,0,14.72,1.96,0,0,1.96,0,0,0,2.94,0,32.39,4.91,7.85,61.84,0,3.93,0,0,0.98,0,0,1.96,0,0,3.93,0,1.96,0.98
 72-82,0,0,0,2.94,0,0,36.32,0,0,0.98,18.65,1.96,0,1.96,0,0,2.94,0.98,1.96,0,35.34,0.98,9.82,57.92,0,0.98,4.91,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,0,31.86,0,0,0,11.68,3.19,0,0,0,1.06,5.31,0,2.12,0,29.74,4.25,9.56,42.48,0,1.06,4.25,0,6.37,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,7.65,0,0,22.95,0,0,0,16.39,5.46,0,0,3.28,0,5.46,0,2.19,0,13.11,1.09,2.19,36.06,0,1.09,1.09,0,6.56,0,0,1.09,0,0,0,0,3.28,0
108-118,0,0,0,6.13,3.83,0,19.92,0,0,0,19.92,3.06,0,0.77,3.06,1.53,10.72,0.77,4.6,0,19.15,0.77,3.06,53.62,0,0.77,1.53,0,4.6,0,0,0,0,0,3.06,0.77,4.6,0
120,0,0,0,3.92,1.96,1.96,21.56,0,0,1.96,17.64,1.96,0,1.96,7.84,1.96,1.96,0,0,0,15.68,1.96,9.8,41.16,0,1.96,3.92,0,0,0,0,0,0,0,1.96,0,3.92,0
