stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,15.73,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0
 24-34,0,0,0,9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,1.64,0.82,0,0,0,0,0,0,0,0.82,0,0.82,0
 36-46,0,0,0,6.45,0,0.81,0,1.61,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,5.64,0,0,0,0,0,0,0,0,2.42,0,0,0
 48-58,0,0,0,10.33,0,2.3,0.57,4.02,0.57,1.15,0,0,0,0,0,0,0,5.74,0,0,0,11.48,0,0,0,0,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,26.5,0,0,0,7.85,2.94,0,0,0,0,0,0,0,0,40.24,0.98,0,0.98,27.48,0,0,0.98,0,0,0,0,0,4.91,0,0,0
 72-82,0,0,0,77.55,0,0.98,0,12.76,2.94,0,0,0,0,0,0.98,0.98,0.98,64.79,0,0,7.85,22.58,0.98,0,0.98,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,0,184.79,0,3.19,0,24.43,2.12,2.12,0,0,0,0,0,0,0,32.92,5.31,0,1.06,7.43,0,0,1.06,0,1.06,1.06,0,0,1.06,0,0,1.06
 96-106,0,0,0,238.24,0,4.37,0,31.69,1.09,1.09,2.19,0,0,1.09,0,0,0,52.46,2.19,0,3.28,12.02,1.09,1.09,1.09,0,1.09,1.09,0,0,0,0,0,1.09
108-118,0,0,0,265.02,0.77,8.43,0,49.79,2.3,0.77,0,0,0.77,0,0,1.53,0,37.53,3.06,0.77,5.36,10.72,3.06,0.77,0,0,0,2.3,0,0,0,0,0,0.77
120,0,0,0,209.7,1.96,5.88,0,37.24,1.96,0,0,0,0,0,0,1.96,0,37.24,3.92,1.96,3.92,11.76,0,0,0,0,0,1.96,0,0,0,1.96,1.96,0
