stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,26.36,1146.48,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,36.78,416.82,0,0,0,0,0,0,0,0,0,6.13,0,0,0,18.39,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,2.63,0,0,0,18.4,0,0,7.89,0,2.63,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,1,0,0,1,0,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0,50.89,0,0,0,0.82,0,0.82,3.28,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,66.06,0,0,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,2.3,0.57,0,0,0,0,0.57,40.74,0.57,0,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,3.93,1.96,0,0,0,0,0.98,37.3,0,0,0,0,0,0,2.94,0,0.98
 72-82,0,0,0,0,2.94,10.8,0,0,0,0,0.98,44.17,0.98,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,2.12,4.25,4.25,1.06,0,1.06,1.06,1.06,15.93,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,1.09,6.56,0,0,2.19,0,0,17.49,0,0,0,1.09,1.09,0,2.19,0,0
108-118,0,0,0.77,0.77,2.3,3.06,0,0,0,0,0,29.11,0,0.77,0,0.77,0,0,0,0.77,0
120,0,0,0,0,3.92,3.92,0,0,0,0,0,17.64,0,0,0,1.96,0,0,0,0,0
