stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,4,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,2,0,0,12,56,7,0,0,4,0,0,8,11,270,690,60,0,0,1,0,0
 24-34,0.82,0,6.57,0.82,0,13.95,187.98,0,0,10.67,0,0,2.46,0.82,4.1,0,0,1.64,0,17.24,0,0,52.53,401.4,2.46,4.1,0.82,0,0,2.46,0,15.6,176.48,430.95,210.96,0,0,2.46,0,1.64
 36-46,0.81,0.81,3.22,0.81,0,32.23,292.46,1.61,0.81,14.5,0,0,1.61,0.81,0,0,0,0.81,4.83,24.17,0,0.81,29.81,823.39,3.22,2.42,1.61,0,0,2.42,0,1.61,120.04,17.72,243.31,0,0,2.42,0,3.22
 48-58,0,0,6.89,0,0,206.57,285.75,0.57,0.57,52.79,2.3,0.57,2.87,0.57,0.57,0,1.72,2.3,2.3,54.51,0.57,0,37.3,1032.85,4.02,2.3,0.57,0,0,4.59,0,7.46,76.89,0,248.46,0,1.15,4.59,0,7.46
 60-70,0,0,8.83,1.96,0,546.71,215.93,0.98,0.98,83.43,4.91,0.98,0.98,0,3.93,0.98,0,0,2.94,111.89,0.98,1.96,27.48,1108.14,8.83,0.98,1.96,0,1.96,3.93,0,5.89,45.15,0,226.73,0,1.96,0,0,5.89
 72-82,2.94,0,11.78,5.89,0,699.92,163.94,0,0.98,113.87,4.91,0,0.98,1.96,4.91,0,1.96,1.96,1.96,183.57,0,7.85,32.39,1010.13,5.89,1.96,4.91,0,0,5.89,0,20.61,37.3,0,134.49,5.89,2.94,4.91,4.91,9.82
 84-94,0,1.06,23.36,7.43,0,531.02,257.01,5.31,2.12,75.4,11.68,0,1.06,1.06,6.37,3.19,2.12,2.12,5.31,134.88,0,7.43,24.43,492.79,6.37,1.06,14.87,0,0,15.93,0,59.47,72.22,0,71.16,5.31,4.25,0,4.25,9.56
 96-106,2.19,0,18.58,13.11,0,465.55,401.07,2.19,0,92.89,12.02,0,4.37,4.37,9.84,2.19,8.74,6.56,3.28,156.28,0,2.19,29.51,539.87,8.74,3.28,24.04,0,4.37,21.86,0,51.36,59.01,0,54.64,7.65,7.65,2.19,7.65,12.02
108-118,0.77,0,16.85,3.06,0.77,351.58,290.3,3.83,3.06,71.23,13.79,0,3.83,2.3,5.36,0.77,10.72,0.77,6.89,131.75,1.53,6.13,47.49,530.81,14.55,3.06,22.21,0,0.77,4.6,0,53.62,64.34,0,26.81,8.43,2.3,1.53,0,30.64
120,0,0,27.44,1.96,0,386.08,166.58,3.92,0,74.47,21.56,0,1.96,5.88,9.8,5.88,7.84,1.96,1.96,92.11,3.92,0,50.95,640.85,7.84,7.84,23.52,0,1.96,7.84,1.96,21.56,23.52,0,35.28,3.92,0,1.96,5.88,5.88
