stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,9,0,11,0,0,3,1,0,1,0,0,0,0,0,0,5,0,0,3,97,0,0,3,2,0,0,3,1,1,8,32,0,0,2,0,0
 24-34,0,0,0.82,4.1,0,16.42,0,0,3.28,0,0,1.64,0,0,0,0,0,0,21.34,0,0,1.64,205.21,0.82,0.82,1.64,0,0,3.28,0,0,0,1.64,49.25,0,0,2.46,0,0
 36-46,0,0,0,2.42,0.81,17.72,0,0,6.45,0,0,0,0,0,0,0,0,0.81,19.34,0,1.61,3.22,269.09,0,6.45,0.81,0,0,0.81,0,0,0,0,63.65,0,0,2.42,0,0
 48-58,0,0,0,1.15,0.57,38.44,0.57,0,18.94,0,0,1.72,0,0,0,1.15,0,0,11.48,0.57,0.57,1.15,360.35,0,2.3,1.72,0,0.57,0,0,0,0,0,61.4,0,0.57,1.72,0,0.57
 60-70,0,0,0,0.98,0,108.95,1.96,0,25.52,0,0,0.98,0,0,0,0,0,0,20.61,0,0,2.94,456.41,0,2.94,2.94,0,0,0,0,0,0.98,0,68.71,0,3.93,3.93,0,0
 72-82,0,0,0,4.91,0,138.41,0,0,46.14,0,0,1.96,0,0.98,0,2.94,0,0.98,35.34,0,1.96,3.93,449.6,0,5.89,2.94,0,0.98,0.98,0,0,0,0,46.14,0.98,0,6.87,1.96,2.94
 84-94,0,0,0,10.62,0,90.27,1.06,0,27.61,0,1.06,0,1.06,0,3.19,2.12,1.06,2.12,27.61,0,0,0,259.14,0,3.19,0,0,0,3.19,0,0,0,0,25.49,0,1.06,3.19,0,0
 96-106,0,1.09,0,8.74,3.28,83.06,0,2.19,36.06,1.09,0,1.09,0,0,0,1.09,1.09,3.28,40.44,0,1.09,3.28,225.13,0,4.37,1.09,0,1.09,1.09,0,0,0,0,9.84,1.09,1.09,8.74,0,1.09
108-118,0,2.3,0,2.3,0.77,61.28,0.77,1.53,28.34,3.83,0.77,0.77,0.77,0.77,3.06,0.77,0.77,0.77,34.47,0,0,0,214.47,0,4.6,4.6,0,0,1.53,0,0,0,0,3.06,1.53,0,13.02,1.53,2.3
120,0,1.96,0,13.72,0,64.67,0,1.96,21.56,0,0,0,0,0,0,0,0,0,31.36,0,1.96,3.92,303.77,0,7.84,0,0,0,3.92,0,0,1.96,0,15.68,0,0,7.84,0,0
