stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,52.71,1199.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,128.72,1563.06,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,24.52,0,0,0,18.39,49.04,0,0,0,0,0,0,0,0
  7-9,13.14,44.69,52.57,0,0,139.32,0,0,0,0,73.6,0,0,0,0,0,0,0,0,0,1235.5,31.54,0,0,491.57,5.26,13.14,0,0,0,0,0,0,0
 10-12,3.15,40.91,47.2,0,6.29,59.79,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,720.66,18.88,0,0,283.23,6.29,3.15,0,12.59,0,3.15,0,0,0
 14-21,0,0,2,4,2,3,0,0,2,0,1,1,0,1,0,0,0,1,0,2,40,3,1,0,0,1,0,4,1,1,3,11,0,0
 24-34,0,0,0,2.46,0,11.49,0,0,1.64,0,0,0,0.82,0,0,0,0.82,10.67,0,2.46,142.83,0,0.82,0.82,0,2.46,0,0,0,0,0,26.27,1.64,0
 36-46,0,0,0,2.42,0,78.96,0,0,2.42,0,0,0.81,0,1.61,0,0.81,0,6.45,0,4.03,144.21,0,1.61,0.81,0,1.61,0,0,0.81,0,0,29,3.22,0.81
 48-58,0,0,0,2.3,0.57,98.12,0,0,3.44,0,0,0,0,0,0,0,0,12.62,0.57,1.72,63.69,1.72,0,0,0,0,0,0,0,0,0,14.92,0.57,0
 60-70,0,0,0,0.98,0,83.43,0,0.98,4.91,0,0,0.98,0,0,0.98,0,0,16.69,0,0,44.17,0,0,0,0,0,0,0,0,0,0,4.91,1.96,0
 72-82,0,0,0,1.96,3.93,18.65,0,0,4.91,1.96,0,0,0.98,0,0,0,0,13.74,1.96,1.96,18.65,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,1.06,0,21.24,0,0,4.25,1.06,0,0,0,0,0,0,0,11.68,2.12,1.06,13.81,1.06,0,0,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,12.02,0,0,0,0,0,0,1.09,0,0,0,0,9.84,0,0,10.93,0,1.09,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,6.89,5.36,0,0,3.83,0.77,0,0,0.77,0,1.53,0,0,2.3,0,0.77,9.19,0,1.53,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,15.68,1.96,1.96,3.92,0,0,0,0,0,0,0,0,1.96,0,0,19.6,0,0,0,0,0,0,0,0,0,0,0,1.96,0
