stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.83,0,0,0,15.77,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.67,3.15,0,0,22.03,0,0,3.15,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,2,25,5,12,0,0,2,0,2,2,0,0,0,0,0,1,28,0,0,18,178,3,0,1,2,0,3,0,35,1,1,25,58,0,0,1,0
 24-34,0,0,0,4.1,2.46,1.64,10.67,0,0,5.75,1.64,0,0.82,0,0.82,0,0,1.64,0,22.98,0,0,8.21,169.1,0,0,0.82,0,0,6.57,0,0,0.82,0,7.39,62.39,0,0,1.64,0.82
 36-46,0,0,0,0,1.61,0,41.89,0,2.42,7.25,0.81,0,0.81,0.81,0,0.81,0,0.81,0,20.14,0,1.61,2.42,133.74,1.61,0.81,1.61,0,0.81,6.45,0.81,0,0,0,0,50.76,0,0,2.42,0
 48-58,0,0,0,0,0.57,0,26.97,0,2.3,7.46,0,0,0.57,0.57,0,0,1.15,0,0.57,21.23,0,0,2.3,68.86,0.57,1.72,0.57,0,0,2.3,0,0,0,0,0,15.49,0,0,2.87,0.57
 60-70,0,0,0,0,1.96,0.98,0.98,0.98,0,1.96,0,0,0,0.98,0,0,0,0,0,10.8,0,0,0.98,5.89,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0.98
 72-82,0,0,0,0,0.98,0,6.87,0,1.96,10.8,1.96,0,1.96,0,0,0,0,0,0,19.63,0.98,0,0.98,27.49,0,0.98,1.96,0,0,1.96,0,0,0,0,0,0.98,0,0,2.94,0
 84-94,0,0,0,0,2.12,0,9.56,0,1.06,6.37,5.31,0,0,1.06,2.12,0,0,0,0,6.37,0,0,1.06,10.62,0,1.06,0,0,0,2.12,0,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,1.09,0,2.19,0,6.56,1.09,0,4.37,1.09,0,1.09,0,0,1.09,0,0,0,9.84,0,0,2.19,12.02,0,1.09,0,0,0,3.28,0,0,0,0,0,0,1.09,0,1.09,0
108-118,0,0,0,0,1.53,0,1.53,0.77,1.53,6.89,2.3,0,0,0,0,0.77,0.77,0,0,13.02,0,0,3.06,31.4,0,0.77,0.77,0,0,3.06,0,0,0,0,0,0,0,1.53,1.53,0.77
120,0,0,0,0,1.96,0,3.92,1.96,1.96,0,0,0,0,1.96,0,0,0,0,0,11.76,0,0,5.88,21.56,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,1.96,0
