stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,3,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,29.55,0,0,0,0,0,0,0.82,1.64,0,0,0,0,0,0.82,1.64,0,0,32.01,0,0
 36-46,0,0,0,0.81,0.81,0,0,0,0,0,81.37,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0,1.61,0,36.26,0,0
 48-58,0,1.72,0,1.15,0,0,0.57,0,0,0,105.01,0,0,0,2.3,0,0,1.15,3.44,0,0,0,0,0,0,0,0.57,0,44.18,0,0.57
 60-70,0,1.96,0,2.94,1.96,0.98,0,0,0,0,152.14,0,0,0,0.98,0,0,1.96,6.87,0,0,0,0,0,0,0,0,0,65.76,0,0
 72-82,0,8.83,0,2.94,0,0.98,0,0,0,1.96,288.61,0,0,0.98,1.96,0,1.96,0,3.93,0,0,0.98,0.98,0,0,0,0.98,0,122.71,0,0
 84-94,0,10.62,0,5.31,1.06,0,1.06,0,0,1.06,321.8,0,0,0,1.06,0,0,1.06,2.12,1.06,1.06,0,2.12,0,1.06,0,0,1.06,107.27,0,0
 96-106,2.19,13.11,0,8.74,0,1.09,0,1.09,2.19,0,397.8,1.09,1.09,2.19,8.74,1.09,0,1.09,4.37,0,0,0,2.19,0,0,0,0,0,119.12,2.19,0
108-118,1.53,19.15,0.77,4.6,0,0,0,2.3,1.53,0,369.96,0.77,0,0,6.13,0,0.77,0,4.6,0,0,0,1.53,0,0,0,1.53,0,132.51,1.53,0.77
120,5.88,41.16,0,3.92,0,0,1.96,3.92,0,0,623.21,0,1.96,0,9.8,0,1.96,3.92,15.68,0,0,0,1.96,0,0,0,0,1.96,229.29,0,0
