stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,6.29,6.29,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,7,1,1,0,0,0,0,0,0,0,0,8,1,7,0,0,0,0,0,7,0,0,0,0,0,0
 24-34,0,0,4.1,0,2.46,0,0.82,0,0,0,0,0,0,0,0,1.64,0,9.03,0,0,0,0,0.82,0,1.64,0,0,0,0,0
 36-46,0,0,0.81,0,1.61,0,0.81,0,0,0,0,0,0,0,0.81,0.81,0.81,31.42,0,0,0,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,2.3,0,0,0,10.33,0,0,0,0,0,0.57,0,0.57,1.72,0.57,49.92,0,0.57,0,0,0,0.57,1.72,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,89.32,0.98,0,1.96,0,0,0,0,0,8.83,0,166.86,0,2.94,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,2.94,0,0.98,0,187.5,0,0,2.94,0.98,0,1.96,0,0,8.83,3.93,152.16,0,2.94,0,0,0,0,3.93,0,0.98,0,0.98,0
 84-94,0,0,3.19,0,3.19,2.12,161.43,1.06,2.12,5.31,1.06,1.06,4.25,0,0,8.5,1.06,61.6,0,4.25,0,0,2.12,0,2.12,0,0,1.06,1.06,0
 96-106,0,0,0,0,0,0,84.15,0,0,4.37,2.19,1.09,5.46,0,0,0,1.09,53.55,0,7.65,0,1.09,0,0,2.19,0,0,0,2.19,0
108-118,0,0,3.83,0.77,0,0,61.28,0,0,0.77,0,0,3.83,0,0,3.06,0,62.81,0,6.89,0,0.77,0,0,0,0,0,0,1.53,0.77
120,0,0,0,0,1.96,0,45.08,0,0,0,0,0,1.96,1.96,0,0,0,72.51,0,1.96,0,0,0,0,0,1.96,0,1.96,0,0
