stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,1,16,1,0,3,0,0,0,0,4,34,0,1,2,0,0,0,4,1,89,0,1,0
 24-34,0,0.82,0,0,0,9.85,0,0,4.1,0,0,9.03,1.64,14.78,35.3,0,5.75,4.1,0,0,0.82,0,0,62.39,0,0,0
 36-46,0,0,0,0,0.81,11.28,0,0,0,0,0,24.98,0.81,6.45,28.2,0,3.22,4.03,0,0,0,0,0,53.17,0,0,0
 48-58,0,0,0,0,1.72,6.89,0,0,0,0,0,8.03,1.15,13.77,18.36,0,1.15,1.72,0,0,0,0,0,35.58,0,0,0
 60-70,0,0,0,0,3.93,1.96,0,0,0,0,0,7.85,0,6.87,13.74,0.98,0.98,4.91,0,0,0,0,0,16.69,0,0.98,0
 72-82,0,0,0.98,0,0.98,0.98,0,0.98,0.98,0,0,4.91,1.96,0.98,15.71,0.98,1.96,12.76,0,0.98,0,0,0,8.83,0,0,0.98
 84-94,0,0,1.06,0,2.12,1.06,2.12,0,1.06,0,1.06,2.12,1.06,2.12,11.68,0,1.06,16.99,0,0,0,0,0,3.19,1.06,0,0
 96-106,0,0,1.09,0,2.19,1.09,3.28,0,0,0,3.28,2.19,1.09,2.19,5.46,1.09,1.09,18.58,0,0,0,0,0,9.84,0,0,0
108-118,0,0,0.77,0,0.77,0.77,3.83,0,0.77,0.77,0.77,0,0.77,0.77,7.66,0.77,1.53,10.72,0,0,0,0,0,1.53,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,0,5.88,0,0,3.92,0,0,0,0,0,0,0,0,0
