stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
 14-21,2,4,192,0,103,0,63,1,0,4,0,0,0,0,2,15,0,0,17,932,0,0,2,8,0,4,13,6,294,0,31
 24-34,0,1.64,17.24,0,6.57,0,62.39,0,0,9.03,0,4.1,0,1.64,0,8.21,0.82,0,4.93,976,0,0.82,1.64,0,1.64,0,2.46,1.64,239.69,0,93.58
 36-46,0,0,4.03,0,5.64,0,69.29,0,0,4.83,0.81,0,0,0,0,3.22,0,0,4.03,447.15,0.81,0,0.81,0,0,0,0.81,0,171.61,0,23.36
 48-58,0,1.72,1.15,0,3.44,0.57,75.17,0,0.57,2.3,0.57,0.57,0,0,0,4.02,0,0.57,0,94.1,0,0,0,0,0.57,0,1.15,0,64.27,0,18.94
 60-70,0,0.98,0,0,0.98,0,45.15,0,0,2.94,0,0,0,0,0,5.89,0,0,0,12.76,0,1.96,0.98,0,0.98,0,0.98,0,27.48,0.98,8.83
 72-82,0,4.91,0,0,2.94,0,37.3,0,0,2.94,0,0,0,0,0,0.98,0,0,0,23.56,0,1.96,0,0,0,0,15.71,0,7.85,0,20.61
 84-94,0,1.06,1.06,0,3.19,0,19.12,0,0,2.12,0,1.06,1.06,0,0,0,0,0,0,9.56,0,1.06,1.06,0,2.12,0,15.93,0,4.25,0,15.93
 96-106,0,0,0,0,3.28,0,21.86,1.09,0,1.09,0,1.09,2.19,0,0,1.09,0,0,0,5.46,1.09,0,2.19,0,0,0,26.23,0,7.65,5.46,17.49
108-118,0,4.6,0,0.77,2.3,0,22.21,0,0,0,0,1.53,0.77,0.77,0,2.3,0,0,1.53,6.13,0.77,0.77,1.53,0,0.77,0,15.32,0,2.3,4.6,13.02
120,0,1.96,0,0,0,0,15.68,1.96,0,3.92,0,1.96,0,0,0,0,0,0,0,17.64,0,0,1.96,0,1.96,0,13.72,0,7.84,3.92,15.68
