stage,axial,epidermis,eye,immune,lateral_line,mesenchyme,neural,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,2.3,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,5.89,0,0,0,0,0
 72-82,0,0.98,3.93,0,0,0.98,20.61,0,0,0,0.98,0
 84-94,0,0,6.37,0,0,0,10.62,0,0,0,0,1.06
 96-106,0,2.19,4.37,1.09,0,0,8.74,0,0,2.19,1.09,1.09
108-118,0,0.77,5.36,0,0.77,0,6.89,0,0.77,0,0.77,0
120,0,0,7.84,0,0,0,11.76,0,0,0,0,0
