stage,axial,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord
 14-21,0,3,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,2
 24-34,0,0.82,0,0,0,0,0,0,0,0.82,0,0,64.03,0.82,0,0,0,0,4.1
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0,0,85.4,0,0,0,0,0,13.7
 48-58,0.57,0,0,1.72,0,2.3,0,0,0.57,1.15,0.57,1.72,70,0,0,0.57,0,0.57,12.05
 60-70,0,0,0,3.93,0.98,0,0,0,0,2.94,0,1.96,77.54,0,0,1.96,0,0,4.91
 72-82,0,0.98,0.98,2.94,0,1.96,0,0,0,5.89,0,0,86.39,0,0,0,0.98,0,6.87
 84-94,0,0,0,8.5,0,1.06,0,0,0,1.06,0,0,62.66,0,1.06,0,0,0,6.37
 96-106,0,0,2.19,5.46,0,2.19,3.28,0,0,3.28,0,0,63.39,0,0,0,0,1.09,0
108-118,0,0.77,11.49,4.6,0,3.06,0,0,0,0.77,0.77,0,74.3,0,0,0,0,0,2.3
120,0,1.96,3.92,1.96,0,3.92,0,1.96,0,1.96,0,0,58.79,0,0,0,0,3.92,0
