stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,3.15,0,0,28.32,0,0,0,3.15,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,23,1,0,5,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,7,66,2,0,1,2,0,3,0,10,1,2,14,34,0,0,1,0,0
 24-34,0,0,0,3.28,9.85,0,0,9.85,0,2.46,0,2.46,1.64,1.64,0,0,0.82,0.82,0,0.82,17.24,0.82,0.82,9.03,163.35,3.28,2.46,0.82,0,0,7.39,0,0,1.64,0,4.93,49.25,0,0,5.75,0,0
 36-46,0,0,0,0,8.06,0,0,21.75,0,0.81,0,4.03,0.81,0,0,0,0,0,0,0,16.11,0,0.81,4.03,180.47,1.61,2.42,0.81,0,0,4.83,0,0,0,0,0,45.92,0,0,1.61,0,0
 48-58,0,0,0,0,5.16,0,0,38.44,0,2.3,0.57,6.31,0,1.72,0,0,0.57,0,0,0,22.38,0,1.72,1.72,127.38,1.72,0,1.72,0,0,1.72,0,0,0,0.57,0,28.12,0,0,1.72,0,0.57
 60-70,0,0,0,0,6.87,0,0,72.63,0,0.98,0,13.74,0,0,0,0,2.94,0.98,0,0,31.41,0,1.96,2.94,172.75,0.98,0.98,1.96,0,0,3.93,0,0,0,0,0,14.72,0,0,0,0,0
 72-82,0,0,0.98,0,6.87,3.93,0,73.62,0,2.94,0.98,14.72,0.98,0,0.98,0,2.94,1.96,0.98,0,33.38,0,0,3.93,134.49,1.96,0.98,1.96,0,0.98,3.93,0.98,0,0,0,0,7.85,0,2.94,0,0.98,0
 84-94,0,0,0,0,9.56,1.06,1.06,32.92,0,9.56,0,8.5,2.12,0,2.12,0,0,0,0,0,24.43,0,1.06,4.25,75.4,2.12,0,3.19,0,1.06,5.31,0,0,2.12,0,0,10.62,1.06,1.06,0,0,0
 96-106,0,0,1.09,0,5.46,0,0,31.69,0,1.09,1.09,13.11,1.09,0,1.09,0,2.19,1.09,1.09,0,19.67,0,1.09,2.19,51.36,2.19,0,4.37,0,0,5.46,0,0,0,0,0,5.46,0,0,2.19,2.19,2.19
108-118,0,0,0.77,0,10.72,0.77,6.13,21.45,0,3.83,0.77,10.72,1.53,0,0,0.77,3.06,0,0,0,13.79,0.77,0,2.3,55.92,1.53,1.53,1.53,0,0,2.3,0,0,0.77,0,0,2.3,0.77,1.53,0.77,0,0.77
120,0,0,1.96,0,17.64,0,1.96,15.68,1.96,5.88,3.92,5.88,1.96,0,1.96,0,0,1.96,0,0,9.8,1.96,0,5.88,60.75,1.96,0,1.96,0,0,3.92,0,0,0,0,0,3.92,0,3.92,0,0,0
