stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,1,6,3,0,1,0
 24-34,0,0,0,4.1,0,0,0,1.64,0.82,0,2.46,0,2.46,0,0,1.64,0,0,13.13,0,0,0,0,0,0,0,0,4.93,0,0.82,0
 36-46,0,0,0,12.89,0,0,0,4.83,0,0.81,1.61,2.42,4.03,0,0,0.81,0,0,38.67,0,0,0,0,0,0,0,0,5.64,0,0,0
 48-58,0,0.57,0,161.24,0,0,0.57,6.89,0,0,5.16,0,2.87,0,0,3.44,0,1.15,50.49,0,0,0.57,0,0,0,0,0,9.75,0,0,0
 60-70,0,0.98,0,703.75,0,0,1.96,3.93,0,0,5.89,0,0.98,0,0,2.94,0,0,39.26,0,0.98,0,0,0,0,0,0,2.94,0.98,0,0
 72-82,0,2.94,0.98,1005.22,0.98,0,0.98,0.98,0.98,0,18.65,0,0.98,0,0,8.83,0.98,0,53.01,0,0.98,2.94,0,0,0,0,0,2.94,0,1.96,0.98
 84-94,0,5.31,0,1016.37,0,1.06,0,5.31,0,0,22.3,0,1.06,1.06,0,10.62,0,1.06,20.18,0,0,3.19,0,0,2.12,0,0,2.12,1.06,1.06,0
 96-106,0,3.28,3.28,733.3,0,0,0,0,0,0,21.86,2.19,2.19,2.19,0,4.37,0,0,10.93,0,0,1.09,0,0,1.09,1.09,0,1.09,0,1.09,1.09
108-118,0,0.77,0.77,486.39,0,0.77,0,3.83,0,0,16.85,0,1.53,0,0.77,3.83,0,2.3,26.81,1.53,0,2.3,0,0.77,1.53,0,0,1.53,0,0,1.53
120,0,3.92,0,423.31,0,1.96,1.96,1.96,0,0,31.36,0,1.96,0,0,1.96,0,1.96,21.56,0,0,0,0,0,1.96,0,0,0,1.96,0,1.96
