stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,10,4,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,2,68,2,0,0,1,0,1,9,1,0,18,26,0,0,0
 24-34,0,0.82,10.67,0.82,0,32.01,0.82,0,0.82,1.64,0.82,0,0.82,0.82,2.46,0,0.82,0,0,23.8,0.82,0,11.49,223.27,0.82,2.46,0.82,0,0,6.57,0,0,0,4.1,39.4,0.82,0,0
 36-46,0,0,8.06,0,0,33.84,1.61,2.42,0,10.47,0,0,0.81,0,0,2.42,0,1.61,0,25.78,0,1.61,7.25,189.33,2.42,2.42,0,0,0,1.61,0,0,0.81,0,41.89,1.61,0,0
 48-58,0,0,0.57,1.15,0,64.84,0,0,1.72,14.35,0.57,0,0.57,1.15,0,0.57,1.15,0.57,0,30.99,1.15,0,8.03,173.29,1.15,0,1.15,0,0,1.72,0,0.57,0.57,0,37.3,1.15,0,0
 60-70,0,0,2.94,0,0,60.85,0,0,3.93,11.78,2.94,0,0.98,0,0,0.98,0.98,2.94,0,25.52,0,0,2.94,147.23,0.98,0.98,0,0,0,0.98,0,1.96,0,0,14.72,0.98,0.98,0
 72-82,0.98,0.98,3.93,2.94,0,37.3,0,0.98,1.96,21.6,0.98,0.98,0.98,2.94,0,0,1.96,0,0,22.58,0.98,0.98,6.87,106.02,0,1.96,0.98,0,0,0,0,0,0,0,8.83,0.98,1.96,1.96
 84-94,0,0,6.37,1.06,0,26.55,0,0,1.06,10.62,4.25,3.19,1.06,2.12,1.06,1.06,1.06,0,2.12,15.93,1.06,0,3.19,48.85,1.06,1.06,0,0,0,6.37,0,0,0,0,4.25,2.12,1.06,0
 96-106,1.09,0,3.28,0,0,10.93,0,0,0,9.84,2.19,0,0,5.46,4.37,0,3.28,1.09,0,18.58,0,0,5.46,27.32,0,0,0,0,1.09,6.56,0,0,0,0,3.28,4.37,0,0
108-118,0,0,5.36,0.77,0.77,13.79,0,0,0.77,9.19,0,0,0,2.3,0,0,0.77,1.53,0,11.49,0,0,3.06,40.6,0.77,0.77,1.53,0,0.77,4.6,0,0,0.77,0,0.77,3.83,1.53,0
120,0,0,17.64,1.96,0,27.44,0,3.92,0,43.12,11.76,0,0,13.72,1.96,0,0,3.92,0,17.64,0,1.96,9.8,74.47,3.92,1.96,1.96,1.96,1.96,7.84,0,1.96,0,0,3.92,9.8,0,0
