stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,4,0,0
 24-34,0.82,0,0,0,0,0.82,0,0,0,0.82,0,0.82,0,0.82,6.57,0,0,0,0,0,1.64,2.46,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,0.81,0,2.42,0,0.81,5.64,0,0,0,0,0,0,0.81,0,0
 48-58,0,2.3,0,0.57,0,1.72,0,0,0,0,0.57,3.44,0.57,1.72,4.02,0,0,0,0,0,0,0.57,0,0
 60-70,0.98,2.94,0,0,0,1.96,0.98,0,0,0,0,4.91,0,0,2.94,0,0,0.98,0,1.96,0,0,0.98,0
 72-82,0.98,0,0,0,0.98,0.98,0,0,0,0,0,2.94,0.98,0,0.98,0,0.98,0.98,1.96,0,0,1.96,0,0
 84-94,0,1.06,0,0,0,0,0,1.06,0,0,0,1.06,0,1.06,2.12,0,1.06,0,1.06,2.12,0,1.06,0,1.06
 96-106,3.28,2.19,0,0,0,0,1.09,0,1.09,1.09,0,5.46,0,0,5.46,0,0,1.09,0,2.19,0,0,0,0
108-118,0.77,0.77,0.77,0,0,2.3,0.77,0,0,0,1.53,5.36,0,1.53,1.53,0.77,0,0,0,0.77,0,0,0,0
120,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0
