stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,2,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0,2.46,3.28,0,0,0,0,0,0,0,0,1.64,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,4.03,0.81,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.94,4.91,0,0,0.98,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,1.96,0,56.94,3.93,0,0,1.96,1.96,0,0,0,0.98,0,0,2.94,0,4.91,0.98,0,0,27.49,0,0,0,0,2.94,0,0,0,0.98,0,0,2.94,0,0.98
 84-94,0,0,0,1.06,2.12,96.65,4.25,0,0,0,3.19,0,0,0,0,0,0,0,1.06,3.19,0,0,1.06,23.36,0,1.06,0,0,2.12,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,2.19,18.58,17.49,280.86,63.39,0,4.37,2.19,20.76,5.46,1.09,9.84,3.28,1.09,1.09,12.02,0,50.27,1.09,3.28,7.65,182.51,0,5.46,4.37,0,29.51,0,1.09,0,2.19,2.19,2.19,5.46,5.46,1.09
108-118,0,0,1.53,31.4,13.02,621.96,130.98,2.3,7.66,3.83,38.3,9.96,0,10.72,3.83,5.36,3.83,7.66,3.83,88.85,5.36,0.77,14.55,293.36,7.66,4.6,3.83,0,55.15,0,0.77,0.77,6.89,2.3,2.3,13.79,2.3,11.49
120,0,0,1.96,29.4,19.6,288.09,88.19,7.84,0,7.84,43.12,9.8,1.96,19.6,0,1.96,3.92,13.72,0,72.51,1.96,5.88,5.88,252.81,9.8,0,11.76,0,43.12,0,3.92,1.96,11.76,0,5.88,15.68,1.96,5.88
