stage,blastomeres,epidermis,eye,glial,iridophores,melanocytes,mesenchyme,neural,paraxial.mesoderm,somites,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,8,1,1,2,0
 24-34,0,0,0.82,0,0,0,0,6.57,0,0,0.82,0
 36-46,0,0,1.61,0,0,1.61,0,6.45,0,0,0,0
 48-58,0,0,1.15,0,0,0,0,2.87,0,0,0.57,0
 60-70,0,0,2.94,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,4.91,0.98,0,0,1.96,2.94,0,0,0,0
 84-94,0,0,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0.77,0,0,0,0,0,0,0
