stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,5.75,0,1.64,0,0,2.46,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,5.75,0,0,0.82,132.98,0,13.13,0,0,0,0,0,8.21,0,0,0.82,0,0
 36-46,4.03,0,0,0,0,8.06,0,0,0,0.81,0,0,0,0,0,0,0,0,0,3.22,0,0,0,380.28,0,13.7,0,0,0.81,0,0,16.92,0,0,0,0,0
 48-58,2.3,0,0.57,0.57,0,37.3,0,0,0,5.74,0,0.57,1.15,0,0,0,0,1.72,0.57,13.77,0,0.57,1.72,569.79,0.57,24.1,0,0,0.57,0,0,26.4,0,0,1.15,0,1.15
 60-70,0.98,0,4.91,0,0,124.65,0,1.96,0.98,5.89,2.94,0,0,0,0,0,0.98,0,0,17.67,0,0.98,0.98,1259.29,0,27.48,0,0.98,2.94,0,0,39.26,0,0,0,0,0.98
 72-82,10.8,0,19.63,3.93,0,586.05,0,0.98,3.93,63.81,11.78,0,1.96,3.93,0,2.94,0,0,0.98,75.59,0.98,0.98,6.87,1878.9,0.98,57.92,5.89,0,5.89,0,0,85.4,0.98,1.96,6.87,2.94,2.94
 84-94,5.31,0,24.43,4.25,0,431.19,1.06,2.12,1.06,54.16,7.43,0,3.19,1.06,0,4.25,0,3.19,1.06,38.23,0,0,2.12,1008.94,2.12,59.47,2.12,0,8.5,0,0,46.73,1.06,1.06,0,1.06,1.06
 96-106,16.39,0,28.41,4.37,0,530.03,0,0,1.09,69.94,15.3,0,1.09,1.09,1.09,2.19,1.09,10.93,0,61.2,0,0,6.56,1004.33,2.19,103.82,0,1.09,7.65,1.09,0,43.71,1.09,0,4.37,8.74,3.28
108-118,9.19,0.77,18.38,3.06,0.77,514.73,0.77,3.06,0.77,51.32,10.72,0,1.53,2.3,0,3.06,0,3.06,0.77,31.4,0,0.77,4.6,1595.5,1.53,75.06,1.53,0.77,5.36,0,1.53,33.7,2.3,0.77,0.77,5.36,1.53
120,9.8,0,17.64,0,1.96,454.67,0,1.96,1.96,43.12,7.84,0,0,7.84,0,1.96,0,3.92,0,13.72,0,1.96,5.88,1403.21,0,43.12,0,0,7.84,0,0,33.32,0,1.96,5.88,0,0
