stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
  7-9,0,2.63,0,10.51,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,47.32,2.63,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0.82,0.82,0,0,0,0,0,1.64,0,0.82,0,23.8,0,2.46,0,0,0,0,0,5.75,0,0,0,0
 36-46,0,0,0,0,0.81,0,4.03,0,0,0.81,0,0,0,5.64,0,0,0,58.01,0,0,0,0,0,0,0,29.81,0,0,0,0
 48-58,0,0,0,0,1.15,0,41.31,0,0,1.72,0,0,0,5.16,0,0.57,0,92.96,0,0.57,0,0,0,0,0,59.1,0,0,0,0
 60-70,0,0,0,0,2.94,0,108.95,0,0,3.93,0,0,0.98,5.89,0,3.93,0,148.21,0,0,0,0,0.98,0,0,110.91,0,0,0,0
 72-82,0,0,0.98,0,1.96,0,106.02,0,0,11.78,0.98,0,0,12.76,0,7.85,0,208.11,0,2.94,1.96,0,0,0.98,0,98.17,0,0.98,0,0
 84-94,0,0,0,0,4.25,1.06,76.47,0,1.06,10.62,1.06,0,0,10.62,0,4.25,1.06,131.69,0,0,3.19,0,0,1.06,1.06,60.54,0,0,0,1.06
 96-106,0,0,0,0,3.28,2.19,74.31,1.09,0,14.21,0,0,0,13.11,2.19,4.37,0,158.46,0,1.09,3.28,0,0,0,1.09,28.41,0,0,0,0
108-118,0,0,0,0,2.3,0,72.77,0.77,0.77,9.19,0.77,0,0,10.72,0,3.06,0,159.32,0,0.77,2.3,0,0,0,0,24.51,0,0,0.77,0
120,0,0,1.96,0,5.88,0,48.99,1.96,0,15.68,0,0,0,7.84,0,1.96,1.96,213.62,0,0,0,0,0,1.96,0,17.64,1.96,0,0,0
