stage,axial,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,3,0,0,1,0,0,0,1,0,0,0,1,43,0,1,1,0,2,0,2,9,0,0
 24-34,0,0,0,7.39,0,0,0,0,0,0.82,3.28,0,0.82,54.18,0,2.46,0,4.93,0,0,0.82,8.21,0,0
 36-46,0,0.81,0.81,18.53,0.81,0,0,0,0,0,1.61,0,0,33.03,0.81,0,0,1.61,0,0.81,0,12.89,0,0
 48-58,0,0,0,16.07,1.72,0.57,0.57,0,0,0,1.15,0.57,0.57,18.36,0,0,0,0.57,0,0,0,1.15,0.57,0
 60-70,0.98,1.96,0,12.76,1.96,0,0,0,0,0.98,1.96,0,0,7.85,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,2.94,0,5.89,3.93,0.98,0,0,0,0,0.98,0,0,7.85,0,0,0,1.96,0,0,0,0.98,0,0.98
 84-94,0,0,0,3.19,0,3.19,0,1.06,0,1.06,2.12,0,1.06,3.19,0,0,0,0,0,0,0,0,0,0
 96-106,0,1.09,1.09,3.28,3.28,0,0,0,0,0,2.19,0,0,5.46,1.09,0,0,0,0,1.09,0,0,2.19,0
108-118,0,0,0,3.06,2.3,0,0,0,0.77,0,0,0,0,3.06,0,1.53,0,0.77,0,0,0,0,0,0
120,0,0,3.92,3.92,5.88,0,0,0,1.96,0,0,0,0,15.68,0,0,0,0,0,0,0,0,0,0
