stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,0,75.53,0,0,0,25.18,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,14,6,0,0,0,0,0,21,137,916,3,0,0,0
 24-34,0,0,0,0.82,6.57,0,0,0,0,0,0,0,0,0,0,0,21.34,19.7,0.82,0.82,0,0,1.64,0,40.22,197.01,6.57,0,0.82,0
 36-46,0,0,0,1.61,12.09,0,1.61,0,0,0,0.81,0,0,0,1.61,0,25.78,8.06,0,0,0.81,0,0,0,24.98,10.47,0.81,0,0,0
 48-58,0.57,0,0,3.44,9.18,0,1.15,0.57,0,0,0,0,0.57,0.57,6.31,0,48.77,17.79,0,0,0.57,0,0,0,7.46,0.57,1.72,0,0,0.57
 60-70,0,0.98,0,5.89,23.56,0,0,0.98,0,0.98,0,0,0,0,2.94,0,46.13,7.85,0,0,0,0,0,0,9.82,0,0.98,0,0.98,0
 72-82,0,0,0,0.98,20.61,0,0.98,0.98,0.98,0,0,0.98,0,0,6.87,0.98,39.27,6.87,0,0,0,0.98,0.98,0,2.94,0,0,0.98,0.98,0
 84-94,0,0,0,3.19,16.99,0,0,1.06,0,0,0,0,1.06,0,2.12,0,33.99,9.56,0,0,0,0,1.06,0,7.43,0,1.06,0,0,0
 96-106,2.19,1.09,1.09,3.28,19.67,0,0,2.19,0,0,0,0,0,0,6.56,0,29.51,10.93,1.09,0,0,0,1.09,0,9.84,0,0,0,0,0
108-118,0,0,0,1.53,10.72,0,0,1.53,0,0,0,0,0.77,0,2.3,0.77,39.83,6.13,0,0,0,0,0.77,0,9.19,0,0,0,0,0
120,3.92,0,0,0,9.8,1.96,0,0,0,0,0,0,0,0,3.92,0,58.79,15.68,0,0,0,0,0,0,5.88,0,0,0,0,0
