stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,15.77,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,12.59,6.29,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,7,0,0,1,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,53,0,0,0,0,160,0,1,18,0,0,0,0
 24-34,0,0,0,0.82,3.28,0,0,10.67,0,3.28,0,1.64,0,0,0.82,0.82,0,0,0,0,4.1,0,0,1.64,44.33,0,1.64,0.82,0,178.13,0,0,3.28,0,0,0.82,0
 36-46,0,0,0,0,1.61,0,0,13.7,0,2.42,0,0.81,0,0,1.61,0.81,0,0,0,0.81,1.61,0,0,0,24.17,0,1.61,1.61,0,132.94,0,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,9.18,0,1.72,0.57,1.72,0,0,0,0.57,0,0.57,0.57,0.57,1.72,1.15,0,0,20.08,1.72,1.15,0.57,0,78.61,0,0,1.15,0,0,0.57,0
 60-70,0,0,0,0,5.89,0,0,17.67,0,2.94,0,4.91,1.96,0,0.98,0,0,0,0,0,2.94,0.98,0,0,14.72,0,0,0.98,0,27.48,0,0,0.98,0,0,0,0
 72-82,0,0,3.93,0,4.91,0,0.98,20.61,0.98,1.96,0.98,21.6,10.8,0,0,2.94,0,0,14.72,0,9.82,0,0,0,25.52,0.98,0.98,8.83,0,11.78,0.98,0,1.96,0.98,0,3.93,0
 84-94,0,0,0,0,9.56,1.06,1.06,11.68,0,7.43,0,32.92,21.24,0,1.06,1.06,0,0,47.79,0,8.5,0,0,0,28.68,1.06,0,13.81,0,41.42,0,0,2.12,1.06,0,1.06,0
 96-106,0,0,2.19,1.09,4.37,0,0,12.02,0,4.37,0,20.76,6.56,0,0,0,0,0,29.51,0,6.56,1.09,1.09,0,18.58,2.19,1.09,17.49,0,20.76,0,0,0,2.19,1.09,0,1.09
108-118,0,0,0,0,16.09,0,8.43,24.51,0.77,3.83,0,38.3,26.04,0,0.77,1.53,0.77,0.77,244.34,0,9.19,0,0,0.77,60.51,0.77,1.53,9.19,0,37.53,0,0,1.53,1.53,0,0.77,0
120,0,0,0,0,3.92,3.92,0,1.96,0,0,0,17.64,0,0,0,0,0,0,0,0,7.84,0,1.96,0,17.64,0,0,9.8,0,13.72,0,0,1.96,0,0,1.96,0
