stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,21.03,23.66,0,0,0,21.03,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,1698.15,5.26,0,0,289.16,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,69.23,75.53,0,3.15,0,59.79,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,1878.74,12.59,0,0,783.6,0,0,0,0,81.82,0,0,0,0,0,0,0
 14-21,0,1,4,155,14,0,156,0,2,0,5,2,1,0,0,0,1,0,0,2,61,1,0,43,2112,10,3,74,149,0,9,1,188,2,4,117,403,0,0,0,0
 24-34,0,0,2.46,7.39,0,0,53.36,0,1.64,4.1,9.03,0,0,0.82,0,0,0,0,1.64,0.82,121.49,0.82,0,22.16,814.29,0.82,0,41.86,0,0,4.93,0,0,0.82,0,16.42,150.22,0,3.28,0,0
 36-46,0,0,0,1.61,0.81,0,17.72,0,0.81,8.86,16.92,0,0,0,0,0,0,0.81,0,0,124.88,1.61,0.81,4.83,248.15,0,0.81,9.67,0,0,7.25,0,0.81,0,0,0,56.4,0,1.61,0,0
 48-58,0,0,0,1.72,0,0,22.95,0,1.15,21.8,39.02,0,0,0,0,0,0,0,0,0,159.52,1.15,0.57,8.61,125.66,0,0,10.33,0,0.57,5.74,0,0,0,0,0,42.46,0,2.3,0,1.15
 60-70,0,0,0,0.98,0,0,9.82,0,0.98,16.69,41.22,0.98,0,0,0,0,0,0,0,0,158.03,1.96,0.98,5.89,46.13,0,0,5.89,0,0,4.91,0,0,0,0,0,31.41,0,0.98,0,0
 72-82,0,0,0,0.98,0,0,21.6,0,0.98,31.41,75.59,0,0,1.96,0,0,0.98,1.96,0,0.98,279.77,1.96,1.96,2.94,55.95,0,0,12.76,0,0,0,0,0,0,0,0,23.56,0,1.96,0,0
 84-94,0,0,0,5.31,0,0,39.3,1.06,0,26.55,40.36,1.06,0,0,0,2.12,3.19,0,0,0,192.23,2.12,2.12,6.37,45.67,0,1.06,14.87,0,0,4.25,0,0,1.06,0,0,11.68,1.06,2.12,0,1.06
 96-106,0,0,0,4.37,0,0,34.97,1.09,2.19,24.04,42.62,0,0,1.09,2.19,0,4.37,1.09,0,1.09,167.21,0,3.28,4.37,39.34,0,1.09,21.86,0,0,2.19,0,0,1.09,0,0,4.37,0,5.46,2.19,2.19
108-118,0,0,0,3.06,0,0.77,20.68,1.53,3.06,13.02,44.43,0.77,0,0,0,1.53,3.06,0.77,0.77,0,159.32,1.53,0,3.83,43.66,0,0,18.38,0,0,3.06,0,0,0,0,0,4.6,0,1.53,0,0.77
120,0,0,0,11.76,0,0,15.68,0,1.96,9.8,35.28,0,0,0,0,5.88,3.92,1.96,0,0,131.31,1.96,3.92,3.92,35.28,0,0,17.64,0,0,5.88,0,0,0,0,0,1.96,0,3.92,1.96,0
