stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,5.75,0,2.46,0,0,9.03,0,0,0,0,1.64,0,0,0.82,0
 36-46,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,8.86,0,1.61,0,0,26.59,0,0,0,0.81,0.81,0,0,1.61,0
 48-58,0,0,0,1.72,0,1.72,0.57,0,0.57,0,0,0,2.3,0,0,0.57,2.87,0.57,0,0.57,9.18,0,0.57,0,0,64.84,0,0,0,0,1.72,0,0,0,0.57
 60-70,0,0,0,3.93,0,0.98,0,0,0.98,0.98,0,0,0,0,0,0,3.93,0,0,0,10.8,0,0,0,0,97.17,0,0,0,0,0.98,0,0,0.98,0
 72-82,0,3.93,0,4.91,0.98,1.96,3.93,0,0,0,0,0,5.89,0.98,0.98,0,3.93,1.96,0.98,0,11.78,0,2.94,0.98,0,89.33,0.98,0,0,0,0,0.98,0,1.96,0
 84-94,0,1.06,0,3.19,1.06,1.06,4.25,0,2.12,0,0,0,1.06,2.12,0,0,5.31,2.12,0,0,5.31,0,1.06,0,0,180.55,0,0,0,0,1.06,1.06,1.06,0,0
 96-106,0,7.65,0,38.25,0,7.65,8.74,0,0,8.74,0,0,10.93,0,2.19,0,2.19,3.28,0,0,13.11,1.09,1.09,1.09,0,312.55,0,0,0,0,1.09,8.74,0,1.09,0
108-118,0,2.3,0.77,15.32,0,1.53,3.83,0,1.53,1.53,0,0.77,8.43,1.53,0,0,3.06,2.3,0.77,0,8.43,0,1.53,0.77,0,153.19,0,0,0,0,0,4.6,0,0,0
120,0,0,0,19.6,1.96,0,3.92,1.96,1.96,5.88,0,0,5.88,0,0,0,1.96,1.96,0,0,7.84,0,3.92,0,0,182.26,0,0,1.96,0,1.96,7.84,0,1.96,0
