stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,1120.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,24.52,888.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.17,0,0,0,18.39,6.13,0,0,0,0,0,0,0,0,0
  7-9,13.14,23.66,42.06,0,0,0,49.95,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,507.34,23.66,0,0,149.84,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,15.73,0,3.15,0,50.35,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,314.7,9.44,0,0,138.47,9.44,0,28.32,0,0,3.15,0,0,0,0
 14-21,0,0,3,21,3,0,10,0,0,5,2,0,1,0,0,0,0,0,0,11,0,0,17,188,7,2,2,3,4,14,2,0,5,48,0,0,0,0
 24-34,0,0,0,13.95,4.1,0,42.68,0,0,6.57,0,0.82,3.28,0.82,0,0,0,0,0,43.51,0,0,11.49,397.29,3.28,3.28,2.46,0,9.85,0,0,0.82,0.82,60.74,0,5.75,0,0.82
 36-46,0,0,0,4.83,2.42,0,82.98,0,0.81,14.5,0,0,1.61,0,0,0.81,0,0,0.81,39.48,0.81,1.61,12.09,233.64,0.81,2.42,0.81,0,5.64,0,0.81,0,0,53.98,0,1.61,0,1.61
 48-58,0,0,0,6.89,5.16,0,89.51,1.15,0.57,11.48,0,0,0,0,0,1.15,0,1.15,0,50.49,0,1.15,12.62,102.14,1.15,1.15,2.3,0,2.3,0,0,0,0,18.94,0,2.3,0,0
 60-70,0,0,0,3.93,5.89,0,73.61,0,0,15.7,0.98,0,0,0,0,0,0,0.98,0,42.21,0,3.93,1.96,52.02,0.98,0,0,0,0,0,0.98,0,0,11.78,0,1.96,0,0.98
 72-82,0,0,0,1.96,26.5,0,13.74,0,0,20.61,1.96,0,0.98,0.98,0.98,0,0.98,0,0,48.1,0.98,1.96,3.93,46.14,0,1.96,3.93,0,4.91,0,0,0,0,6.87,0,4.91,1.96,0
 84-94,0,0,0,4.25,20.18,0,22.3,1.06,0,9.56,2.12,0,0,0,0,1.06,0,0,0,29.74,0,4.25,9.56,24.43,1.06,2.12,2.12,0,3.19,0,0,0,0,1.06,1.06,4.25,2.12,0
 96-106,0,0,0,7.65,25.14,0,8.74,0,0,6.56,2.19,0,0,2.19,2.19,1.09,2.19,1.09,0,24.04,1.09,0,1.09,27.32,0,1.09,1.09,0,3.28,0,1.09,0,0,0,0,4.37,1.09,0
108-118,0,0,0,6.89,21.45,3.83,17.62,0,0.77,9.96,0,0,0.77,2.3,1.53,0.77,0,0.77,0,12.26,0.77,0,1.53,27.57,0,0.77,0.77,0,2.3,0,0,0,0,0.77,0.77,6.13,0,0
120,0,0,0,5.88,19.6,0,9.8,0,1.96,3.92,3.92,0,0,3.92,1.96,0,0,1.96,0,19.6,0,0,1.96,35.28,3.92,0,1.96,0,3.92,0,0,0,0,0,0,1.96,1.96,0
