stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,immune,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord
  3-4,26.36,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,6.13,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,2.63,0,0,0,5.26,0,0,0,0,0,23.66,0,0,0,7.89,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,6.29,0,0
 14-21,0,0,1,1,2,0,0,0,0,2,0,13,1,0,1,0,0,0,1,1
 24-34,0,0,1.64,0,0,0,0,0,0,1.64,0,5.75,0,0,0.82,0,0,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,12.89,0,0.81,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,2.3,0.57,0,0.57,0,0,14.92,0,0.57,0,0,0,0,0,1.72
 60-70,0,0,0,0,0,0,0,0,0,0,0,11.78,0,0,0,0,0,0,0,4.91
 72-82,0,0,0,0,0,0,0,0,0,0,0,24.54,0,0,0,0,0,0,0,1.96
 84-94,0,0,0,0,0,1.06,0,1.06,0,0,2.12,11.68,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,1.09,0,0,0,7.65,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,1.53,0,2.3,0,0,0,13.79,0,0,0,0,0,0,0,0
120,0,0,0,0,0,3.92,0,0,0,0,0,11.76,0,0,0,0,0,0,0,3.92
