stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,13.18,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,324.87,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,5.26,0,0,0,5.26,0,0,120.92,2.63,0,0,34.17,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,6.29,0,0,0,3.15,0,0,59.79,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,1,1,3,0,1,0,0,1,2,14,0,1,0,0,0,0,1,4,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,3.28,1.64,25.45,0,0.82,0.82,0,0.82,0,0,4.1,0,0.82,0
 36-46,0,0,0,0,0,4.83,0,0,0,0,2.42,0,11.28,0,0.81,0,0,0,0,0,4.03,0,0,0
 48-58,0,0,0,0,0,4.59,0,2.3,0.57,0,2.87,1.15,16.64,0,0.57,0,0,0.57,0,0,2.3,0,0,0
 60-70,0,0,0,0.98,0,1.96,0.98,0,0,0,0,0,4.91,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,0,2.94,0,1.96,0,0,1.96,0.98,8.83,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.19,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0.77,0,0,0.77,0,0,0,0.77,0,0.77
120,0,0,0,0,0,0,0,0,0,0,1.96,0,5.88,0,0,0,0,1.96,0,0,0,0,0,0
