stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0.82,0.82,0,0,4.93,0.82,13.13,14.78,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,11.28,2.42,14.5,15.31,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0.57,0,0,0,0,0,1.72,0,5.74,1.15,13.2,3.44,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0,0,0,3.93,0,4.91,2.94,38.28,2.94,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,2.94,0,0,0.98,0,0,0,0.98,0,4.91,0.98,6.87,0.98,5.89,3.93,46.14,1.96,0,3.93,0,0,0
 84-94,0,0,0,0,4.25,0,1.06,3.19,0,4.25,0,0,5.31,0,7.43,2.12,0,1.06,8.5,0,2.12,11.68,242.14,8.5,0,9.56,0,1.06,0
 96-106,0,0,1.09,3.28,2.19,0,0,5.46,1.09,1.09,0,0,7.65,1.09,13.11,0,5.46,1.09,15.3,0,16.39,10.93,193.43,7.65,0,20.76,0,0,0
108-118,0,0,0,3.06,8.43,0.77,0,2.3,0,5.36,0,1.53,20.68,0.77,9.96,0,3.06,1.53,7.66,0.77,9.19,10.72,199.15,6.89,0,36,0,0,0
120,0,0,0,1.96,7.84,0,0,1.96,0,5.88,0,0,9.8,0,5.88,0,0,1.96,5.88,0,1.96,1.96,86.23,3.92,0,17.64,0,0,1.96
