stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,128.72,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,2.63,0,0,15.77,0,28.92,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,22.03,0,22.03,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,20,0,0,2,0,0,0,1,0,0,0,0,5,0,0,0,0,3,0,0,2,8,0,0,0,0,0,85,1,1,1,2,2,0,0,0,0
 24-34,0,0,0,1.64,6.57,0,0,4.1,0,3.28,0,0.82,1.64,0,0.82,2.46,23.8,0,4.93,1.64,0.82,5.75,5.75,0,2.46,25.45,0,4.1,0,0,0,403.86,0,0,0,1.64,5.75,0,0,1.64,0.82
 36-46,0,0,0,0,7.25,0,0,4.03,1.61,2.42,0,0,0.81,0,0,0,7.25,0,4.03,0.81,0,11.28,5.64,0,0.81,18.53,0.81,0.81,0,0,0,439.9,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,1.15,1.72,0.57,0,10.9,0,2.87,0,2.3,1.15,0,0,1.72,3.44,0.57,3.44,0,0,8.03,2.87,0,2.3,18.94,0.57,1.15,0,0,0,447.57,0,0,0,0,4.02,0,0,0.57,0
 60-70,0,0,0,0,1.96,0,0,9.82,0,1.96,0,2.94,3.93,0,0,5.89,5.89,0,2.94,0.98,0,22.58,1.96,0,0.98,13.74,0,0.98,0.98,0,0,370.03,0,0,0,0,4.91,0,0.98,0,0
 72-82,0,0,0.98,0,8.83,0,0,7.85,0,1.96,0,6.87,6.87,0,0,0.98,8.83,0,5.89,0.98,0,17.67,4.91,0.98,0,16.69,0.98,0.98,0.98,0,0,348.49,0,0,0,0,0.98,1.96,0,0,0
 84-94,0,0,2.12,0,5.31,0,0,12.74,0,9.56,0,1.06,7.43,0,0,16.99,13.81,0,8.5,1.06,0,14.87,9.56,0,0,5.31,1.06,3.19,0,0,0,879.37,0,0,0,0,0,11.68,0,0,1.06
 96-106,0,0,0,0,18.58,0,0,10.93,2.19,3.28,1.09,4.37,6.56,1.09,0,17.49,27.32,1.09,10.93,0,0,15.3,10.93,0,0,20.76,0,3.28,0,0,1.09,634.94,0,0,0,0,0,8.74,0,2.19,0
108-118,0,0,0,0,15.32,0,0.77,13.02,0,5.36,0,2.3,12.26,0,0,9.19,22.21,0,9.19,3.83,0,16.85,11.49,0,0,9.96,0,4.6,0,0,0,472.6,0,0,0,0,0.77,14.55,1.53,0,0.77
120,0,0,0,1.96,11.76,1.96,0,5.88,0,3.92,0,1.96,13.72,0,0,15.68,25.48,0,5.88,1.96,0,11.76,7.84,0,0,25.48,1.96,1.96,0,0,0,282.21,0,3.92,0,0,0,7.84,0,0,0
