stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,36.8,0,0,7.89,0,44.69,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,22,0,0,1,1,0,0,0,0,0,0
 24-34,0,0,0,2.46,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0.82,1.64,0,0,2.46,1.64,0,0,0,1.64,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0.81,0,4.03,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,4.03,1.61,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,12.05,0,10.33,0.57,0,0,0,0,1.72,0,0,0,0,4.59,0.57,0,1.15,4.02,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,58.89,0,11.78,0.98,0,0,0,0,11.78,0,0,0,0,17.67,0.98,2.94,3.93,5.89,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,137.43,0,13.74,2.94,0,0.98,0,0,10.8,0,0,0.98,1.96,15.71,0.98,1.96,1.96,6.87,0.98,0,0,0.98,0.98,0,0,0.98,0,0,0,0.98,0.98,0,0
 84-94,0,0,1.06,274.01,0,41.42,8.5,0,1.06,0,0,8.5,1.06,0,0,0,19.12,5.31,1.06,1.06,3.19,0,1.06,0,0,0,0,0,0,0,0,0,1.06,0,2.12,0
 96-106,0,0,0,379.22,1.09,40.44,13.11,0,2.19,0,7.65,33.88,1.09,0,0,1.09,40.44,6.56,2.19,6.56,19.67,4.37,0,0,2.19,1.09,1.09,7.65,0,0,0,2.19,1.09,2.19,2.19,0
108-118,0,0,0.77,366.9,0,42.89,21.45,1.53,0,0,1.53,19.92,1.53,0,0,0,47.49,3.83,1.53,3.83,11.49,1.53,0,0,1.53,0,0,3.83,0,0,0,1.53,0.77,0.77,0,0
120,0,0,0,290.05,0,7.84,21.56,0,0,0,1.96,39.2,1.96,1.96,0,0,39.2,1.96,1.96,3.92,9.8,0,1.96,0,0,0,0,9.8,0,0,0,0,0,0,0,0
