stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,7,1,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,4,0,0,0,54,1,0,0,0,0,0,5,1,2,27,0,0,0,0,0
 24-34,0,0,0,2.46,0.82,0,2.46,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,3.28,0,0,4.1,85.37,0.82,1.64,1.64,0,0,0,0,0.82,0,23.8,0,0,3.28,0,1.64
 36-46,0,0,0,2.42,0,0,12.89,0,0,0,4.83,0,0,0,0,0,0,0.81,0,0.81,3.22,0,0,0,142.6,0,6.45,0,0,0,0,0,0,0,29.81,0,0,0.81,0,0.81
 48-58,0,0,0,1.72,0,0,14.35,0,0.57,1.15,6.31,0,0,1.15,0,0,0.57,0,0.57,0,22.95,1.15,0.57,3.44,179.03,0.57,3.44,1.15,0,0,0,0,0.57,0,20.66,0,0,2.3,0,0
 60-70,0,0.98,0,2.94,0.98,0,21.59,0,1.96,0.98,5.89,0,0,0,0.98,0,0.98,1.96,0,0,36.32,0,0.98,1.96,293.48,0,3.93,2.94,0,0,0,0,0,0,28.46,0,0.98,2.94,1.96,0
 72-82,0,0,0,1.96,0,0,27.49,0,0,1.96,16.69,0,0,0,0,0,0,0.98,1.96,0,57.92,0,1.96,4.91,279.77,0,8.83,4.91,0,0,0.98,0,0,0,12.76,0,0,4.91,0.98,0.98
 84-94,0,1.06,0,5.31,1.06,0,24.43,0,1.06,1.06,13.81,1.06,1.06,1.06,0,0,0,1.06,0,0,46.73,0,5.31,2.12,122.13,0,4.25,13.81,0,0,1.06,0,0,0,7.43,0,3.19,2.12,4.25,0
 96-106,0,0,0,5.46,0,0,18.58,0,0,1.09,13.11,3.28,0,1.09,0,0,0,2.19,1.09,0,41.53,1.09,1.09,1.09,89.61,0,4.37,10.93,0,0,1.09,0,0,0,3.28,0,2.19,1.09,4.37,1.09
108-118,0,0,0,2.3,0.77,1.53,13.02,0,0,2.3,14.55,2.3,0,0,0,0.77,0,3.83,0.77,0,32.94,0.77,0.77,3.83,157.02,0,6.13,5.36,0,0.77,0.77,0,1.53,0,3.83,0.77,1.53,3.06,0.77,0
120,0,0,0,9.8,0,0,9.8,1.96,0,1.96,17.64,0,0,0,0,0,0,0,3.92,0,21.56,0,0,0,96.03,0,3.92,3.92,0,0,0,0,0,0,1.96,0,0,1.96,1.96,1.96
