stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,0,0,0,20,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0.82,0,0,0,0,0,0,0,0,107.53,4.1,0,0,0,0,64.03,0,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,3.22,0,1.61,194.97,11.28,0,0,0,0,103.93,0,0,0,0,0
 48-58,0,0,1.72,0,4.02,0,0,0.57,0,0,0,0,0,0,0,12.05,0,0.57,161.81,1.15,0.57,0,0,0,67.14,0,0,0.57,0,0
 60-70,0,0,0,0,15.7,0,0,0,0,0,0,0,0,0,0,18.65,0,0,272.86,0.98,0,0,0,0,68.71,0,0,1.96,0,0
 72-82,0,0,0.98,0,23.56,0,0,6.87,0,0,0.98,0,0,0,0,52.03,0.98,1.96,457.45,4.91,0,0,0,0,38.28,0,0,0,0,0
 84-94,0,0,0,0,20.18,0,0,4.25,0,0,2.12,0,0,0,0,36.11,1.06,0,199.66,2.12,0,0,0,0,25.49,0,0,1.06,1.06,1.06
 96-106,0,0,4.37,2.19,17.49,1.09,0,16.39,1.09,0,0,1.09,0,1.09,3.28,33.88,1.09,1.09,236.05,3.28,0,0,1.09,1.09,17.49,0,1.09,3.28,0,1.09
108-118,0,0,1.53,1.53,13.79,0,0.77,23.74,0,0,4.6,0,0,0,0,52.85,0,2.3,246.64,3.06,0,0,1.53,0,6.89,0.77,0,1.53,0,0
120,0,0,3.92,0,15.68,0,0,43.12,0,0,1.96,0,1.96,0,0,23.52,0,1.96,293.97,5.88,0,0,0,1.96,23.52,0,0,0,0,0
