stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,197.67,4414.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0
  5-6,153.24,2635.74,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.81,6.13,0,0,12.26,61.3,0,0,0,0,0,0
  7-9,7.89,31.54,23.66,0,0,73.6,0,0,0,15.77,0,0,0,0,0,0,0,733.41,7.89,0,0,233.96,2.63,15.77,0,2.63,0,0,0
 10-12,0,3.15,9.44,0,3.15,18.88,0,0,0,6.29,0,0,0,0,0,0,0,138.47,3.15,0,0,31.47,0,3.15,0,6.29,0,0,0
 14-21,0,0,0,6,2,5,0,0,0,0,0,0,2,0,0,2,0,49,0,1,4,1,6,4,2,1,0,4,11
 24-34,0,0,0.82,4.93,0,8.21,0,1.64,0,0,0,0,4.1,0,0,0.82,0,33.66,0,6.57,4.1,0,13.13,0.82,0,0,0.82,0,9.85
 36-46,0,0,0,1.61,0.81,15.31,0,1.61,0,0,0,0,0,0,0.81,1.61,0,21.75,0,2.42,0,0,5.64,3.22,0,0,0,0,6.45
 48-58,0,0,0,0,0,6.31,0,0,0,0,0.57,0.57,0,0,0,0,0,12.62,0,0.57,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0.98,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0.98,0,1.96,0,5.89,0,0.98,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,4.25,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,3.28,0,1.09,0,0,1.09,0,0,0,0,0,0,0,1.09,5.46,0,4.37,1.09,0,3.28,2.19,0,0,0,0,0
108-118,0,0,0.77,0.77,0.77,1.53,0.77,0,0,0,0,0,0,0,0,0,0,3.06,0,0,0.77,0,2.3,1.53,0,0,0,0,0
120,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,3.92,0,1.96,0,0,1.96,1.96,0,0,0,0,0
